award_key,award_id,generated_award_id,award_type,award_type_code,recipient_name,action_date,action_type,modification_number,transaction_amount,transaction_description,award_description,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_zip,recipient_district,pop_city,pop_state,pop_zip,pop_district,total_obligated,total_potential_value,detected_by,sources,override_status
CONT_AWD_NNG09FA40C_8000_-NONE-_-NONE-,NNG09FA40C,CONT_AWD_NNG09FA40C_8000_-NONE-_-NONE-,contract,D,LOCKHEED MARTIN CORPORATION,2026-08-03,F,117,0.00,"THE PURPOSE OF THIS MODIFICATION IS TO FINALIZE THE PARTIAL TERMINATION SETTLEMENT AND REDUCE THE CONTRACT VALUE ACCORDINGLY. THE INTERFACE REGION IMAGING SPECTROGRAPH (IRIS) IS A NASA SMALL EXPLORER MISSION THAT OBSERVES THE SUN'S CHROMOSPHERE AND TRANSITION REGION, ALSO KNOWN AS THE INTERFACE REGION. IRIS IS DESIGNED TO STUDY HOW ENERGY AND PLASMA MOVE WITHIN THIS REGION, WHICH HELPS US UNDERSTAND HOW THE SUN'S CORONA IS HEATED AND HOW SOLAR ACTIVITY IMPACTS EARTH'S SPACE ENVIRONMENT. THIS MISSION FILLS A CRUCIAL GAP IN OUR ABILITY TO ADVANCE SUN-EARTH CONNECTION STUDIES BY TRACING THE FLOW OF ENERGY AND PLASMA INTO THE CORONA AND HELIOSPHERE FOR WHICH NO SUITABLE OBSERVATIONS EXIST.","INTERFACE REGION IMAGING SPECTROGRAPH (IRIS). THE CONTRACTOR SHALL REFINE AND EVOLVE THE CONTRACTOR'S COST ESTIMATE FOR PHASES B-F FOR THE INTERFACE REGION IMAGING SPECTROGRAPH (IRIS) MISSION SUBMITTED IN RESPONSE TO NASA ANNOUNCEMENT OF OPPORTUNITY #NNH07ZDA003O FOR THE EXPLORERS PROJECTS DIVISION. THE PRIMARY TASKS IN PHASE B WILL INCLUDE THE GENERATION AND PRESENTATION OF THE SYSTEMS REQUIREMENTS REVIEW (SRR) AND THE PRELIMINARY DESIGN REVIEW (PDR). IN ORDER TO SUPPORT THESE REVIEWS, THE CONCEPT DEFINITION EFFORTS SHALL ENCOMPASS THE WORK REQUIRED TO UPDATE AND REFINE THE PROPOSAL'S SCIENCE INVESTIGATION OBJECTIVES AND PLANS (IF NECESSARY), INSTRUMENT AND SPACECRAFT CONCEPTS AND PERFORMANCE CHARACTERISTICS, AND SCIENCE OPERATIONS AND FLIGHT OPERATIONS PLANS AND CONCEPTS. THESE EFFORTS SHALL IDENTIFY THE CONDITIONS AND CONSTRAINTS NECESSARY FOR THE DEVELOPMENT OF AN INTEGRATED IRIS MISSION APPROACH. THE CONTRACTOR'S MISSION INTEGRATION EFFORTS SHALL INCLUDE CONSIDERATIONS FOR THE ACCOMMODATION OF THE IRIS OBSERVATORY ONTO THE LAUNCH VEHICLE. THE CONTRACTOR'S PHASE B PRELIMINARY DESIGN EFFORTS SHALL DEVELOP THE CSR AND SITE VISIT CONCEPTS INTO A PRELIMINARY DESIGN AND DEFINITION OF THE IRIS MISSION, INCLUDING ITS MISSION OPERATIONS CENTER (MOC) AND SCIENCE OPERATIONS CENTER (SOC). THE PRELIMINARY DESIGN REVIEW (PDR) SHALL BE HELD IN ACCORDANCE WITH NPR 7120.5D, NPR 7123.1A, AND GSFC STD 1001B. THE CONTRACTOR'S EFFORTS IN PHASE B SHALL FORM THE BASIS FOR FINAL ATION OF THE REMAINDER OF THE IRIS DEVELOPMENT AND OPERATIONAL PHASES (C, D, E AND F). DETAILED COST AND SCHEDULE ESTIMATES SHALL BE PREPARED AND SUBMITTED DURING PHASE B, WHICH DEFINES THE CONTRACTOR'S UPDATED BUDGET FOR PHASE B AND THE PLANNED BUDGETS FOR PHASE C, D, E AND F WORK. PERIODIC TECHNICAL AND PROGRAMMATIC INTERCHANGE MEETINGS AT BOTH THE CONTRACTOR'S FACILITY AND AT GSFC SHALL BE REQUIRED TO COORDINATE EFFORTS BETWEEN THE CONTRACTOR AND THE EXPLORERS PROJECTS OFFICE. THESE MAY BE CONDUCTED AS FACE-TO-FACE MEETINGS OR TELECONFERENCES, AS REQUIRED.",3251 HANOVER ST BLDG 201,,PALO ALTO,CA,94304,16,PALO ALTO,CA,94304,16,193275152.43,198769611.00,both,api;mirror,descoped
CONT_AWD_80GRC024CA008_8000_-NONE-_-NONE-,80GRC024CA008,CONT_AWD_80GRC024CA008_8000_-NONE-_-NONE-,contract,D,CASE WESTERN RESERVE UNIVERSITY,2025-04-08,M,P00002,0.00,STOP WORK NOTICE ISSUED WITH NOTICE OF INTENT TO DE-SCOPE. CENTRIFUGAL ACCELERATION TESTING - NASA GRC IS PURSUING THE DEVELOPMENT OF DYNAMIC CONVERSION TECHNOLOGIES TO SUPPORT SCIENCE MISSION POWER SYSTEM DEVELOPMENT.,CENTRIFUGAL ACCELERATION TESTING - NASA GRC IS PURSUING THE DEVELOPMENT OF DYNAMIC CONVERSION TECHNOLOGIES TO SUPPORT SCIENCE MISSION POWER SYSTEM DEVELOPMENT.,10900 EUCLID AVE,,CLEVELAND,OH,44106,11,CLEVELAND,OH,44106,11,33269.00,33269.00,description,api;mirror,descoped
CONT_AWD_80GSFC23CA041_8000_-NONE-_-NONE-,80GSFC23CA041,CONT_AWD_80GSFC23CA041_8000_-NONE-_-NONE-,contract,D,AUTONOMIC INTEGRA LLC,2025-03-14,M,P00017,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO DE-SCOPE- THE CLIMATE CHANGE RESEARCH INITIATIVE (CCRI) UNDER THE GODDARD INSTITUTE FOR SPACE STUDIES (GISS) CONTRACT FOR THE EARTH SCIENCES DIRECTORATE.,"THE PURPOSE OF THIS CONTRACT IS TO ACQUIRE SCIENTIFIC SUPPORT AND RELATED SERVICES FOR THE GISS FACILITY IN NEW YORK CITY, NY.","101 LAKEFOREST BLVD, STE 375",,GAITHERSBURG,MD,20877,06,NEW YORK,NY,10025,13,14272022.47,21134122.31,description,api;mirror,
CONT_AWD_80MSFC20C0050_8000_-NONE-_-NONE-,80MSFC20C0050,CONT_AWD_80MSFC20C0050_8000_-NONE-_-NONE-,contract,D,SPATIAL INFORMATICS GROUP LLC,2025-02-07,M,P00011,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO DE-SCOPE - SERVIR GLOBAL NETWORK CAPABILITY PROGRAM,SERVIR GLOBAL NETWORK CAPABILITY PROGRAM,2529 YOLANDA CT,,PLEASANTON,CA,94566,14,PLEASANTON,CA,94588,14,954983.90,954983.90,description,api;mirror,descoped
CONT_AWD_80MSFC24CA008_8000_-NONE-_-NONE-,80MSFC24CA008,CONT_AWD_80MSFC24CA008_8000_-NONE-_-NONE-,contract,D,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",2025-01-23,M,P00003,0.00,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO DESCOPE - THE GOAL OF NEO SURVEYOR IS TO FIND, TRACK, AND CHARACTERIZE THE ASTEROIDS AND COMETS THAT COULD POTENTIALLY THREATEN THE EARTH.","THE GOAL OF NEO SURVEYOR IS TO FIND, TRACK, AND CHARACTERIZE THE ASTEROIDS AND COMETS THAT COULD POTENTIALLY THREATEN THE EARTH.",10889 WILSHIRE BLVD STE 700,,LOS ANGELES,CA,90024,36,LOS ANGELES,CA,90024,36,16057000.00,23937256.00,description,api;mirror,
CONT_AWD_NNM16AA08C_8000_-NONE-_-NONE-,NNM16AA08C,CONT_AWD_NNM16AA08C_8000_-NONE-_-NONE-,contract,D,SOUTHWEST RESEARCH INSTITUTE,2025-01-23,M,44,0.00,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO DESCOPE - LUCY IS A PLANNED NASA SPACE PROBE THAT WILL TOUR FIVE JUPITER TROJANS, ASTEROIDS WHICH SHARE JUPITER'S ORBIT AROUND THE SUN, ORBITING EITHER AHEAD OF OR BEHIND THE PLANET AND ONE MAIN BELT ASTEROID. ALL TARGET ENCOUNTERS WILL BE FLY-BY ENCOUNTERS.","IGF::CL,CT::IGF LUCY IS A PLANNED NASA SPACE PROBE THAT WILL TOUR FIVE JUPITER TROJANS, ASTEROIDS WHICH SHARE JUPITER'S ORBIT AROUND THE SUN, ORBITING EITHER AHEAD OF OR BEHIND THE PLANET AND ONE MAIN BELT ASTEROID. ALL TARGET ENCOUNTERS WILL BE FLY-BY ENCOUNTERS.",6220 CULEBRA RD,,SAN ANTONIO,TX,78238,20,SAN ANTONIO,TX,78238,20,74931167.70,170903124.70,description,api;mirror,
