Award ID,Generated Award ID,Award Category,Transaction Count,Latest Modification Number,First Action Type,First Action Type Description,First Action Date,Latest Action Type,Latest Action Type Description,Latest Action Date,Action Code Termination Modification,Action Code Termination Date,Closeout Modification Number,Closeout Action Date,Last Checked Date
80NSSC26P0347,CONT_AWD_80NSSC26P0347_8000_-NONE-_-NONE-,contract,2,P00001,,,2026-03-19,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-05-28,P00001,2026-05-28,,,2026-08-16
80NSSC26P0407,CONT_AWD_80NSSC26P0407_8000_-NONE-_-NONE-,contract,2,P00001,,,2026-04-14,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-04-21,P00001,2026-04-21,,,2026-08-16
80NSSC26P0502,CONT_AWD_80NSSC26P0502_8000_-NONE-_-NONE-,contract,2,P00001,,,2026-04-17,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-07-08,P00001,2026-07-08,,,2026-08-16
80NSSC26P0662,CONT_AWD_80NSSC26P0662_8000_-NONE-_-NONE-,contract,3,P00002,,,2026-05-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-08-11,P00002,2026-08-11,,,2026-08-16
80SSC021F0001,CONT_AWD_80SSC021F0001_8000_80SSC021A0001_8000,contract,5,P00004,,,2020-10-20,M,OTHER ADMINISTRATIVE ACTION,2025-04-08,,,,,2026-08-16
80SSC026C0002,CONT_AWD_80SSC026C0002_8000_-NONE-_-NONE-,contract,2,P00001,,,2026-04-01,M,OTHER ADMINISTRATIVE ACTION,2026-04-20,,,,,2026-08-16
80TECH25PA010,CONT_AWD_80TECH25PA010_8000_-NONE-_-NONE-,contract,2,P00001,,,2025-02-25,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-02-26,P00001,2025-02-26,,,2026-08-16
NNG09FA40C,CONT_AWD_NNG09FA40C_8000_-NONE-_-NONE-,contract,118,118,,,2009-09-30,C,FUNDING ONLY ACTION,2026-08-05,117,2026-08-03,,,2026-08-16
NNK14CA65T,CONT_AWD_NNK14CA65T_8000_GS21F0019X_4732,contract,2,1,,,2014-09-11,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2016-05-04,1,2016-05-04,,,2026-07-31
NNM16AA08C,CONT_AWD_NNM16AA08C_8000_-NONE-_-NONE-,contract,59,P00058,,,2015-11-09,C,FUNDING ONLY ACTION,2026-07-16,,,,,2026-08-16
NNM16AA29C,CONT_AWD_NNM16AA29C_8000_-NONE-_-NONE-,contract,51,50,,,2016-09-01,M,OTHER ADMINISTRATIVE ACTION,2025-06-02,,,,,2026-08-16
