Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,Unnamed: 26
80NSSC24K0178,,P00002,0,Grant For Research,$0.00,"Mar 21, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,,,PROVIDENCE,RI,029129100,,,E3FDXZ6TBHW3,E3FDXZ6TBHW3,BROWN UNIVERSITY,BROWN UNIVERSITY,23242,
80NSSC24AA015,GS00F008DA,P00004,0,BPA Blanket Purchase Agreement,$0.00,"Mar 13, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,MCLEAN,VA,221023830,NONE,NONE OF THE ABOVE,JCBMLGPE6Z71,MBPHTU7Y9S65,BOOZ ALLEN HAMILTON INC,BOOZ ALLEN HAMILTON INC.,17038,
80NSSC24K0176,,P00003,0,Grant For Research,$0.00,"Mar 21, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,,,BLACKSBURG,VA,240603359,,,QDE5UHE5XD16,X6KEFGLHSJX7,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,4B976,
80NSSC22K1681,,P00004,0,Grant For Research,$0.00,"Mar 21, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,,,EDINBURG,TX,785392909,,,L3ATVUT2KNK7,L3ATVUT2KNK7,THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY,"UNIVERSITY OF TEXAS RIO GRANDE VALLEY, THE",6Y726,
80NSSC24K0913,,P00002,0,Grant For Research,$0.00,"May 14, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,,,HOUSTON,TX,770303870,,,ZUFBNVZ587D4,ZUFBNVZ587D4,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,0NUJ3,
80NSSC24K1264,,P00002,0,Grant For Research,$0.00,"Mar 21, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,,,FAIRBANKS,AK,997750001,,,FDLEQSJ8FF63,FDLEQSJ8FF63,UNIVERSITY OF ALASKA FAIRBANKS,UNIVERSITY OF ALASKA FAIRBANKS,3R2B4,
80NSSC24PB139,,P00002,0,PO Purchase Order,$0.00,"Apr 8, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,541519.0,OTHER COMPUTER RELATED SERVICES,NEW YORK,NY,100181741,NONE,NONE OF THE ABOVE,L8UFWSCC3JF5,L8UFWSCC3JF5,DATADOG  INC.,"DATADOG, INC.",7X1W2,
80NSSC21K1069,,P00004,0,Grant For Research,$0.00,"Jun 20, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,,,CAMBRIDGE,MA,021385369,,,LN53LCFJFL45,LN53LCFJFL45,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,1NQH4,
80NSSC21M0002,,P00010,0,Cooperative Agreement,$0.00,"May 12, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,,,CAMBRIDGE,MA,021385366,,,LN53LCFJFL45,LN53LCFJFL45,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,1NQH4,
80NSSC24AA012,47QRAA19D0085,P00004,0,BPA Blanket Purchase Agreement,$0.00,"Mar 13, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,MC LEAN,VA,221023600,NONE,NONE OF THE ABOVE,N9NJK877QJK9,N9NJK877QJK9,GUIDEHOUSE INC.,GUIDEHOUSE INC.,1HLR9,
