Award ID,source_type,recipient,value,savings,status,source_url,description,agency
80GSFC22CA021,FPDS Contract,"Newton, L.L.C.",-31752.64,,Terminate for Convenience,https://fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GSFC22CA021&modNumber=P00015&transactionNumber=0&idvAgencyID=&idvPIID=&actionSource=searchScreen&actionCode=&documentVersion=1.5&contractType=AWARD&docType=B,Description not available,NASA
80GSFC23CA001,FPDS Contract,"Trustees of Columbia University in the City of New York, the",-8203.43,,Terminate for Convenience,https://fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GSFC23CA001&modNumber=P00011&transactionNumber=0&idvAgencyID=&idvPIID=&actionSource=searchScreen&actionCode=&documentVersion=1.5&contractType=AWARD&docType=B,Description not available,NASA
80GSFC23CA005,FPDS Contract,Southwest Research Institute,40788.0,,Terminate for Convenience,https://fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GSFC23CA005&modNumber=P00006&transactionNumber=0&idvAgencyID=&idvPIID=&actionSource=searchScreen&actionCode=&documentVersion=1.5&contractType=AWARD&docType=B,Description not available,NASA
80GSFC23CA030,FPDS Contract,Honeybee Robotics LLC,343290.45,,Terminate for Convenience,https://fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GSFC23CA030&modNumber=P00010&transactionNumber=0&idvAgencyID=&idvPIID=&actionSource=searchScreen&actionCode=&documentVersion=1.5&contractType=AWARD&docType=B,Description not available,NASA
80GSFC23PA006,FPDS Contract,"Malin Space Science Systems, Inc.",0.0,,Terminate for Convenience,https://fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GSFC23PA006&modNumber=P00003&transactionNumber=0&idvAgencyID=&idvPIID=&actionSource=searchScreen&actionCode=&documentVersion=1.5&contractType=AWARD&docType=B,Description not available,NASA
80GSFC24CA024,FPDS Contract,"A3L Federal Works,Llc",-47238.13,,Terminate for Convenience,https://fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GSFC24CA024&modNumber=P00007&transactionNumber=0&idvAgencyID=&idvPIID=&actionSource=searchScreen&actionCode=&documentVersion=1.5&contractType=AWARD&docType=B,Description not available,NASA
80GSFC25P0001,FPDS Contract,Ares Technical Services Corporation,-144118.0,,Terminate for Convenience,https://fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GSFC25P0001&modNumber=P00001&transactionNumber=0&idvAgencyID=&idvPIID=&actionSource=searchScreen&actionCode=&documentVersion=1.5&contractType=AWARD&docType=B,Description not available,NASA
80HQTR20D0005,FPDS Contract,Seti Institute,0.0,,Terminate for Convenience,https://fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR20D0005&modNumber=P00005&transactionNumber=&idvAgencyID=&idvPIID=&actionSource=searchScreen&actionCode=&documentVersion=1.5&contractType=IDV&docType=B,Description not available,NASA
80HQTR21AA001,FPDS Contract,Airbus Ds Geo Inc.,0.0,,Terminate for Convenience,https://fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR21AA001&modNumber=P00004&transactionNumber=&idvAgencyID=&idvPIID=&actionSource=searchScreen&actionCode=&documentVersion=1.5&contractType=IDV&docType=B,Description not available,NASA
80HQTR21F0124,FPDS Contract,"Overlook Systems Technologies, Inc.",0.0,,Terminate for Convenience,https://fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR21F0124&modNumber=P00022&transactionNumber=0&idvAgencyID=8000&idvPIID=GS10F0100T&actionSource=searchScreen&actionCode=&documentVersion=1.5&contractType=AWARD&docType=B,Description not available,NASA
80HQTR22AA009,FPDS Contract,Ghgsat Incorporated,0.0,,Terminate for Convenience,https://fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR22AA009&modNumber=P00003&transactionNumber=&idvAgencyID=&idvPIID=&actionSource=searchScreen&actionCode=&documentVersion=1.5&contractType=IDV&docType=B,Description not available,NASA
80HQTR23FA044,FPDS Contract,"Chenega Global Protection, LLC",-136103.4,,Terminate for Convenience,https://fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80HQTR23FA044&modNumber=P00005&transactionNumber=0&idvAgencyID=8000&idvPIID=80GSFC23DA004&actionSource=searchScreen&actionCode=&documentVersion=1.5&contractType=AWARD&docType=B,Description not available,NASA
