Award ID,source_type,recipient,value,savings,status,source_url,description,agency,claim_date,action_date,detection_basis,detection_method
80GSFC23CA001,Contract,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,9658.99,,Terminate-for-convenience action P00013 on 2026-07-30,https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA001_8000_-NONE-_-NONE-/,TERMINATE FOR CONVENIENCE AGREEMENT - SOCIOECONOMIC DATA AND APPLICATIONS CENTER (SEDAC) SMD DIRECTORATE,National Aeronautics and Space Administration,,2026-07-30,evidence,termination_action_code
80NM0018F0566,Contract,CALIFORNIA INSTITUTE OF TECHNOLOGY,0.0,,Termination-language transaction P00029 on 2026-05-01,https://www.usaspending.gov/award/CONT_AWD_80NM0018F0566_8000_80NM0018D0004_8000/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - OFFICE OF CHIEF TECHNOLOGIST (OCT) STRATEGIC INTEGRATION FOR SMD DIRECTORATE,National Aeronautics and Space Administration,,2026-05-01,evidence,termination_language
80GSFC23CA030,Contract,HONEYBEE ROBOTICS LLC,343290.45,,Terminate-for-convenience action P00010 on 2025-09-29,https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA030_8000_-NONE-_-NONE-/,"TERMINATE FOR CONVENIENCE AGREEMENT - MARS SAMPLE RETURN (MSR) CAPTURE, CONTAINMENT AND RETURN SYSTEMS (CCRS) EARTH ENTRY SYSTEM (EES) SPIN EJECT MECHANISM (SEM) FOR SMD DIRECTORATE.",National Aeronautics and Space Administration,,2025-09-29,evidence,termination_action_code
80NSSC24PC269,Contract,KPMG LLP,-24000.0,,Termination-language transaction P00002 on 2025-06-10,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PC269_8000_-NONE-_-NONE-/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - KPMG ASPIRE IMMERSION,National Aeronautics and Space Administration,,2025-06-10,evidence,termination_language
80NSSC23FA528,Contract,IBEX IT BUSINESS EXPERTS LLC,-136672.81,,Terminate-for-convenience action P00007 on 2025-04-23,https://www.usaspending.gov/award/CONT_AWD_80NSSC23FA528_8000_80NSSC23DA001_8000/,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - NEHCSS - IBEX IT BUSINESS EXPERTS, LLC TASK ORDER 80NSSC23FA528 ORGANIZATION DEVELOPMENT SUPPORT SERVICES",National Aeronautics and Space Administration,,2025-04-23,evidence,termination_action_code
80NSSC23F0002,Contract,"FOUR POINTS TECHNOLOGY, L.L.C.",0.0,,Terminate-for-convenience action P00001 on 2025-04-21,https://www.usaspending.gov/award/CONT_AWD_80NSSC23F0002_8000_NNG15SD22B_8000/,TERMINATE FOR CONVENIENCE AGREEMENT SECURID AUTHENTICATOR TOKENS,National Aeronautics and Space Administration,,2025-04-21,evidence,termination_action_code
80NSSC24PA660,Contract,"LMI CONSULTING, LLC",0.0,,Terminate-for-convenience action P00002 on 2025-04-16,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA660_8000_-NONE-_-NONE-/,TERMINATE FOR CONVENIENCE: BRIDGE PROGRAM RETREAT,National Aeronautics and Space Administration,,2025-04-16,evidence,termination_action_code
80GSFC21C0057,Contract,SCHLUMBERGER TECHNOLOGY CORPORATION,20402.8,,Terminate-for-convenience action P00013 on 2025-08-18,https://www.usaspending.gov/award/CONT_AWD_80GSFC21C0057_8000_-NONE-_-NONE-/,"TERMINATION FOR CONVENIENCE AGREEMENT - PULSED NEUTRON GENERATORS FOR THE NASA DRAGONFLY AND DRAGONFLY TITAN LANDER AND THE DEVELOPMENT AND ADVANCEMENT OF LUNAR INSTRUMENTATION (DALI), BULK ELEMENTAL COMPOSITION ANALYZER (BECA) INSTRUMENT.",National Aeronautics and Space Administration,,2025-08-18,evidence,termination_action_code
80GRC022AA006,Contract,"AXIAL GLOBAL, LLC.",0.0,,Terminate-for-convenience action P00002 on 2025-04-15,https://www.usaspending.gov/award/CONT_IDV_80GRC022AA006_8000/,"TERMINATION FOR CONVENIENCE - NASA GLENN RESEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON-DESTRUCTIVE TESTING (NDT).",National Aeronautics and Space Administration,,2025-04-15,evidence,termination_action_code
80GRC022AA018,Contract,"PRECISION FABRICATING & CLEANING COMPANY, INC.",0.0,,Terminate-for-convenience action P00003 on 2025-04-15,https://www.usaspending.gov/award/CONT_IDV_80GRC022AA018_8000/,"TERMINATION FOR CONVENIENCE - NASA GLENN RESEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON-DESTRUCTIVE TESTING (NDT).",National Aeronautics and Space Administration,,2025-04-15,evidence,termination_action_code
