Award ID,source_type,recipient,value,savings,status,source_url,description,agency
80NSSC22K1658,Contract,Cleveland State University,149765,0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC22K1658&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,DOGE Cancellation Date: 3/24/2025. Improved monitoring and management of urban tree equity: integrating metrics of tree quality with tree cover - commercial satellite data analysis characterizing canopy chlorophyll and photosynthetic productivity for agricultural crops and forest monitoring support for smd/esd directorate,National Aeronautics and Space Administration
80NSSC24K1612,Contract,University of Texas at Austin,50000,0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24K1612&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,DOGE Cancellation Date: 3/24/2025. 23-earth23-0422 climate harmony: studying and informing urban climate efforts in central texas through the.development of a regional climate atlas,National Aeronautics and Space Administration
80NSSC22K1673,Contract,Massachusetts Institute of Technology,250000,0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC22K1673&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,DOGE Cancellation Date: 3/24/2025. Applying the evdt integrated modeling framework for environmental justice applications - termination for convenience - earth science applications: equity and environmental justice support for science mission directorate (SMD/ESD),National Aeronautics and Space Administration
80NSSC21M0005,Contract,Oklahoma State University,2981789,0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC21M0005&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,DOGE Cancellation Date: 3/24/2025. The primary objective of the  native earth | native sky  (NENS) program is to build culturally-relevant earth-sky stem programming for middle schoolers in three oklahoma native american nations that will increase the students  understanding of - termination for convenience agreement  - science activation program integration/ science engagement & partnerships division for support for science mission directorate (SMD),National Aeronautics and Space Administration
80NSSC22K1681,Contract,"University of Texas Rio Grande Valley, the",249999,0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC22K1681&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"DOGE Cancellation Date: 3/24/2025. 21-eej21-0061, integration of satellite data on air pollution with socioeconomic indicators to assess the impacts of agricultural burning on local communities in the lower rio grande valley of south texas. - termination for convenience - earth science applications: equity and environmental justice support for smd/esd",National Aeronautics and Space Administration
80NSSC24K1232,Contract,Trustees of Tufts College,489187,0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24K1232&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"DOGE Cancellation Date: 3/24/2025. Environmental justice & public health: climate, land, & (HEALTH) outcome of dengue fever (CLOUD)",National Aeronautics and Space Administration
80NSSC22K1675,Contract,University of Texas at Austin,249842,0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC22K1675&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"DOGE Cancellation Date: 3/24/2025. Eo14042 atx ca3tch up: climate atlas for accountability and advocacy strategies through co-production with historically underserved community partners in austin, tx - termination for convenience - earth science applications: equity and environmental justice support for smd/esd mission directorate",National Aeronautics and Space Administration
80JSC024FA088,Contract,Booz Allen Hamilton INC,442470,0,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80JSC024FA088&modNumber=0&idvAgencyID=&idvPIID=80JSC023AA001&contractType=AWARD,"DOGE Cancellation Date: 3/20/2025. The contractor shall provide independent programmatic and institutional assessment capability to support NASA. reviews and assessments are performed in support of organizational tactical and strategic planning efforts specifically for strategic messaging within the heliophysics science community, responding to the the next decade of discovery in solar and space physics: exploring and safeguarding humanity's home in space released in 2024, overall strategy and implementation of the space weather program and heliophysics digital resource library, leadership and division operational management, knowledge management, and support for division digital organization tools. the scope of reviews and assessments supported within this statement of work (SOW) includes NASA programs, projects within the heliophysics division as NASA headquarters.",National Aeronautics and Space Administration
80JSC025FA015,Contract,Booz Allen Hamilton INC,1000910,0,BASE AWARD,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80JSC025FA015&modNumber=0&idvAgencyID=&idvPIID=80JSC023AA001&contractType=AWARD,DOGE Cancellation Date: 3/20/2025. Game changing development (GCD) program data management and gcd tool support,National Aeronautics and Space Administration
80JSC024FA120,Contract,Booz Allen Hamilton INC,886588,0,"ADDITIONAL WORK (NEW AGREEMENT, JUSTIFICATION REQUIRED)",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80JSC024FA120&modNumber=P00003&idvAgencyID=&idvPIID=80JSC023AA001&contractType=AWARD,"DOGE Cancellation Date: 3/20/2025. The contractor shall assess and evaluate existing NASA science mission directorate (SMD) programming and procedures to identify gaps and/or underlying issues in support of the open science strategic initiatives. recommend updates to strategy documents and collect modifications for input. provide an assessment and recommendations to cross-cutting alignments across the directorate. the contractor shall facilitate planning and discussion meetings to conduct strategic assessment activities, provide recommendations on agenda and materials and document results, and report findings and recommendations to the oscdo and other leadership to inform mission directorate processes. the contractor shall develop and foster relationships with agency points of contact and others to further the oscdo offices’ goals. the contractor shall monitor developments in and around open science and technology polices relative to agency and ocsdo goals and directives. the contractor shall provide management and assessment of ocsdo schedules, milestones, actions, and risks using applicable tools and trackers. the contractor shall review and assess strategic engagement opportunities on behalf of smd ocsdo front office, open science data officer, and open science program scientist and recommend strategies to maximize reach and impact. recommend processes, slide deck templates (internal and external), and procedures to optimize the programs’ activities and knowledge management practices.",National Aeronautics and Space Administration
