_index,_type,_id,_score,sort,_source.proposal_title,_source.pgrp_center,_source.institution_name,_source.purchase_request_number,_source.grant_number,_source.pr_task,_source.technical_representative,_source.principal_investigator,_source.award_date,_source.pop_end_date,_source.pop_start_date,_source.program_title,_source.case_state
nasa-public,grants,80NSSC19M0221_CANCELLED,,[-9223372036854775808],USING SPACE TECHNOLOGY TO ENGAGE AND INSPIRE STUDENTS TO EXPLORE (SPACETECH ENGINE),HQ,,,80NSSC19M0221 CANCELLED,Administrative | Administrative - Other,TORRY JOHNSON,M Chantale Damas,,2022-08-31,2019-09-01,MUREP INNOVATIONS IN SPACE TECHNOLOGY CURRICULUM (MISTC) GROUP 2,Cancelled
nasa-public,grants,80NSSC17M0029_CANCELLED,,[-9223372036854775808],SPACE-GRADE FLEXIBLE HYBRID ELECTRONICS,HQ,,,80NSSC17M0029 CANCELLED,"Administrative | Administrative - Change Pop End Date, Administrative - A.G.O. Change",JEPPIE COMPTON,Matthew Bernards,,2022-08-31,2017-08-06,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH (EPSCOR),Cancelled
nasa-public,grants,80NSSC20M0257_CANCELLED,,[-9223372036854775808],Additive Construction at Drake State: Developing the future Advanced Manufacturing Workforce,MSFC,,,80NSSC20M0257 CANCELLED,Administrative | Administrative - 1st No Cost Extension,RICHARD FISCHER,Karen Ray,,2022-09-01,2020-08-31,COOPERATIVE AGREEMENT NOTICE (CAN),Cancelled
nasa-public,grants,80NSSC22K1115_CX_P00002,,[-9223372036854775808],Long Term Level-1 Monitoring and Assessment of Bistatic Radar GNSS Reflections For NASA's CSDA Program,GSFC,University Corporation For Atmospheric Research,,80NSSC22K1115 CX P00002,|,Frederick Policelli,Mohammad Al-Khaldi,,2022-09-01,2022-03-31,,Cancelled
nasa-public,grants,80NSSC21K2078,,[-9223372036854775808],"""Characterization of Fungal Biofilm (Molds) Formation, Growth, and Gene Expression on Different Materials in Microgravity""",MSFC,"University Of Colorado, LASP",4200776916,80NSSC21K2078,Base Award,SRIDHAR GORTI,LUIS ZEA,,2022-09-04,2021-08-23,SINGLE SOURCE,Cancelled
nasa-public,grants,80NSSC19K1096_CANCELLED,,[-9223372036854775808],THE KECK OSIRIS NEARBY AGN SURVEY: CHARACTERIZING THE PHYSICAL MECHANISMS DRIVING FEEDING AND FEEDBACK IN ACTIVE GALAXIES,HQ,,4200789366,80NSSC19K1096 CANCELLED,Funding | Funding - Incremental,DOUGLAS HUDGINS,FRANCISCO MULLER-SANCHEZ,,2022-09-12,2019-09-13,ASTROPHYSICS DATA ANALYSIS,Cancelled
nasa-public,grants,80NSSC22K1655,,[-9223372036854775808],Competitive Phase A ? Magnetic Field Investigation for Currents and Energy Flow in Magnetosphere?Ionosphere?Thermosphere Coupling,GSFC,"University of Colorado, Boulder",4200809036,80NSSC22K1655,Base Award,Guan Le,Delores Knipp,,2022-09-15,2022-06-01,,Cancelled
nasa-public,grants,80NSSC17K0703_CANCELLED,,[-9223372036854775808],"PLUTO, CHARON, AND OTHER TRANSNEPTUNIAN OBJECTS AT TRUE OPPOSITION",HQ,,,80NSSC17K0703 CANCELLED,Administrative | Administrative - Other,Lucas Paganini,ANNE VERBISCER,,2022-09-19,2017-09-20,SOLAR SYSTEM OBSERVATIONS,Cancelled
nasa-public,grants,80NSSC21K0606_CX_P00001,,[-9223372036854775808],DEEP NUSTAR OBSERVATIONS OF THE JWST-NEP TIME DOMAIN FIELD: LONG TERM MONITORING,GSFC,SMITHSONIAN ASTROPHYSICAL OBSERVATORY,,80NSSC21K0606 CX P00001,"Funding | De-Obligation, Administrative - A.G.O. Change, Administrative - Added GCAM Appendix H Terms and Conditions",Tod Strohmayer,Francesca Civano,,2022-09-23,2021-03-01,competed,Cancelled
nasa-public,grants,80NSSC18K0932_CANCELLED,,[-9223372036854775808],MINIATURIZED INDUCTIVELY COUPLED PLASMA MASS SPECTROMETER (ICPMS) FOR TRACE ELEMENT ANALYSIS,HQ,"University of Maryland, College Park",4200780975,80NSSC18K0932 CANCELLED,Funding | Funding - Augmentation,James Gaier,RICARDO AREVALO,,2022-09-23,2018-09-24,PLANETARY INSTRUMENT CONCEPTS FOR THE ADVANCEMENT OF SOLAR SYSTEM OBSERVATIONS,Cancelled
nasa-public,grants,80NSSC17K0769_CANCELLED,,[-9223372036854775808],A COMPARATIVE MODELING STUDY OF ELECTROMAGNETIC INDUCTION AT TERRESTRIAL AIRLESS BODIES: A METHOD TO DETERMINE INTERIOR STRUCTURE,HQ,,,80NSSC17K0769 CANCELLED,|,Delia Santiago-materese,Andrew Poppe,,2022-09-27,2017-09-28,SOLAR SYSTEM WORKINGS,Cancelled
nasa-public,grants,80NSSC17M0040_CX:P00003,,[-9223372036854775808],COORDINATED POSITION AND ATTITUDE CONTROL FOR FORMATIONS OF SMALL SATELLITES,HQ,,,80NSSC17M0040 CX:P00003,Funding | Funding - Incremental,JEPPIE COMPTON,SUZANNE SMITH,,2022-09-30,2017-10-01,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH (EPSCOR),Cancelled
