Award ID,source_type,recipient,value,savings,status,source_url,description,agency
80NSSC19K0326,Grant,President And Fellows Of Harvard College,,,,,"The termination has been vacated and set aside pursuant to the order entered on september 3, 2025, in president and fellows of harvard college v. us department of health and human services et AL., 1:25-CV-11048 (d. mass).there is a compelling need for intensive study of convective impacts on the summer stratosphere over north america. each summer the north american monsoon anticyclone (nama) dominates the circulation of the north-western hemisphere and acts to partially confine and isolate air from the surrounding atmosphere. strong convective storms in the nama regularly penetrate deep into the lower stratosphere (LS), with some ascending above 20 km (~450 k potential temperature). the uniqueness of the nama region is most easily seen in satellite measurements of water vapor, which show a large enhancement in the LS over north america not seen either in magnitude or at such high latitudes elsewhere around the GLOBE. but the coupling of tropopause-penetrating convection with large-scale monsoonal motion is poorly understood, AS is the impact of convection on the chemical composition of the LS, both in monsoon regions and in the global stratosphere, which receives inputs of moist and polluted monsoon air from the nama. the Dynamics and Chemistry of the Summer Stratosphere (DCOTSS) proposal directly addresses this knowledge gap.",National Aeronautics and Space Administration
80NSSC19K0714,Grant,"University Of Kansas Center For Research, Inc.",,,,,"Agile: advanced energetic ion electron telescope our goal is to develop an innovative instrument to characterize SOLAR, magnetospheric, and, cosmic ray particles. agile, will be a compact, low mass, and, low power particle telescope that provides particle identification with unprecedented precision, and cover a wide energy range in multiple differential energy channels to characterize particle spectra. the innovative aspect of agile will be to fully digitize the waveform of the charge pulse (i.e., digital signal processing) resulting from energy loss of incident particles in solidstate detectors (ssds). this technique will enable particle species identification with high accuracy and reliability. agile measurements of charged particles advance the broad heliospheric science goals of: (i) acceleration and transport of charged particles in the inner heliosphere, e.g., SOLAR energetic particles (SEP) (II) explore processes in the remote heliosphere, viz., the termination shock and the heliosheath, e.g., anomalous cosmic rays (acr) and, (III) magnetospheric relativistic electron dynamics, e.g., electron injection into the inner zone. agile achieves measurement objectives using: (i) the FIRST space flight application of fast digital signal processing for particle identification, (II) flight proven solid state detector technology, and (III) sophisticated onboard software algorithms for particle energy and species identification. agile measurements of will cover energy ranges critical to the understanding of SEP and acr and resolve ion isotopes (e.g. he3 vs. he4) with high accuracy. agile uses a new chip, sampic, and associated signal amplifier developed in orsay, saclay, and the university of kansas. sampic provides fast signal sampling of up to 10 GSA/s with low power consumption of ~10 MW PER channel, good radiation tolerance, and built-in data reduction. a version of the sampic board has already been tested and used in the high radiation environment of the large hadron collider. these tests at the lhc have shown that the signal properties such AS rise-time, s/n ratio are retained after amplification, with improved performance. to begin with, agile will comprise of a stack of conventional ssd of varying thicknesses, optimized to measure both electrons and ions. we will then explore novel detectors such AS low gain avalanche detectors (lgad) and diamond detectors. these detectors show GREAT potential for space instrumentation. during the FIRST year, hardware efforts will focus on using sampic-based front-end electronics to acquire waveforms generated BY the passage of a particle. software algorithms dedicated to particle identification will be developed and tested. during second year these algorithms will be extended to perform on-line data analysis using a low power, space-qualified fpga. during the third year an engineering model of agile will be validated in a test BEAM with a standard ssd stack AS well AS a combination of ssd with lgad or diamond detectors. our proposed activity falls squarely within one of NASA's strategic objectives, (the 2014 NASA strategic plan). strategic goal 1 explicitly mentions the need to ""develop the new technologies that will open the space frontier"". objective 1.4 lists fundamental questions about sun-earth system, ""what causes the sun to vary? how DO geospace, planetary space environments, and the heliosphere respond? what are the impacts to humanity?"" and notes the importance of understanding ""penetrating radiation and energetic particles"". agile will enable advancing all these stated NASA goals BY using state of the art technology to characterize energetic particles addressing not only scientific questions of acceleration, transport and loss of energetic particles but also their space weather aspects. development of agile is therefore directly responsive to the h-TIDES instrument and Technology Development (itd) and the SMD heliophysics research program.",National Aeronautics and Space Administration
80NSSC19K0748,Grant,"Pinhead Institute, Inc, The",,,,,Termination for convenience agreement - an analysis of ladee UVS data for metallic species - support for SMD directorate,National Aeronautics and Space Administration
80NSSC19K1666,Grant,"Imec Usa Nanoelectronics Design Center, Inc.",,,,,"Termination for convenience agreement - rodent hindlimb suspension, rodent csf, and direct ICP & biomarkers - support for SOMD directorate",National Aeronautics and Space Administration
80NSSC20P1795,Contract,"Howard, Wershbale, & Co",,,,,Termination for convenience agreement exercise option yr 4,National Aeronautics and Space Administration
80NSSC21K1069,Grant,President And Fellows Of Harvard College,,,,,"Termination for convenience agreement -20-ocost20-0009, application of continuous ground-based remote sensing to analysis of oco-2/3 xco2 and SIF data in mosaic landscapes -support for SMD earth science directorate",National Aeronautics and Space Administration
80NSSC21K1443,Grant,President And Fellows Of Harvard College,,,,,The termination has been vacated and set aside pursuant to the order entered on september 3 2025 in president and fellows of harvard college v us department of health and human services et AL 1 25 cv11048 d mass,National Aeronautics and Space Administration
80NSSC21M0003,Contract,Universities Space Research Association,,,,,Termination for convenience agreement  - science activation program integration/ science engagement & partnerships division for support for Science Mission Directorate (SMD),National Aeronautics and Space Administration
80NSSC21M0005,Contract,Oklahoma State University,,,,,Termination for convenience agreement  - science activation program integration/ science engagement & partnerships division for support for Science Mission Directorate (SMD),National Aeronautics and Space Administration
80NSSC22K1658,Grant,Cleveland State University,,,,,"Termination for convenience agreement- 22-csdsa22_2-0014, commercial satellite data analysis characterizing canopy chlorophyll and photosynthetic productivity for agricultural crops and forest monitoring support for SMD/ESD directorate",National Aeronautics and Space Administration
80NSSC22K1673,Grant,Massachusetts Institute Of Technology,,,,,Termination for convenience agreement - earth science applications: equity and environmental justice support for Science Mission Directorate (SMD/ESD),National Aeronautics and Space Administration
80NSSC22K1675,Grant,University Of Texas At Austin,,,,,Termination for convenience agreement - earth science applications: equity and environmental justice support for SMD/ESD mission directorate,National Aeronautics and Space Administration
80NSSC22K1681,Grant,"University Of Texas Rio Grande Valley, The",,,,,Termination for convenience agreement - earth science applications: equity and environmental justice support for SMD/ESD,National Aeronautics and Space Administration
80NSSC22PA482,Contract,"Diversified Services Group, Incorporated",,,,,Termination for convenience agreement - live plant maintenance services,National Aeronautics and Space Administration
80NSSC22PB703,Contract,Ho-Chunk Shared Services Company,,,,,Stop work notice issued with notification of intent to termiate for conveince - GSFC strategic assessment support (gsas),National Aeronautics and Space Administration
80NSSC23FA279,Contract,Creative Solutions International,,,,,Termination for convenience agreement - creative solutions consulting services (deborah klotz) in support of the ocio transformation project.,National Aeronautics and Space Administration
80NSSC23FA528,Contract,Ibex It Business Experts Llc,,,,,"Stop work notice issued with notification of intent to terminate for convenience - nehcss - IBEX it business experts, llc task order 80nssc23fa528 organization development support services",National Aeronautics and Space Administration
80NSSC23FB052,Contract,"Bryce Solutions, Llc",,,,,"P00017 - termination - NASA enterprise-wide human capital support services (nehcss) bryce solutions, llc contract #80nssc23da002 -task order 80nssc23fb052 leadership and executive level one-on-one coaching services",National Aeronautics and Space Administration
80NSSC23K1430,Grant,President And Fellows Of Harvard College,,,,,"The termination has been vacated and set aside pursuant to the order entered on september 3, 2025, in president and fellows of harvard college v. us department of health and human services et AL., 1:25-CV-11048 (d. mass).rodent research standard housing mission: multidisciplinary approach to understanding spaceflight responses",National Aeronautics and Space Administration
80NSSC23M0020,Contract,Blue Marble Space,,,,,Termination for convenience agreement - three-dimensional modeling of observable terrestrial worlds - support for SMD directorate,National Aeronautics and Space Administration
80NSSC23PB058,Contract,"Florida First Robotics Education Foundation, Inc.",,,,,Termination for convenience agreement - sponsorship of the FIRST orlando regional,National Aeronautics and Space Administration
80NSSC23PB368,Contract,Pacific Research & Evaluation Llc,,,,,Termination for convenience agreement -- audience evaluation of engagement content and materials,National Aeronautics and Space Administration
80NSSC24FA558,Contract,"Three Wire Systems, Llc",,,,,Termination for convenience agreement tor- one software renewal,National Aeronautics and Space Administration
80NSSC24FA979,Contract,"Bryce Space And Technology, Llc",,,,,"Termination for convenience agreement - change management supportservice BPA call for office of technology, policy, andstrategy independent diagnostic and strategic advisory support(OTPS-idsas).",National Aeronautics and Space Administration
80NSSC24K0113,Grant,University Of Arkansas System,,,,,Termination for convenience agreement - here to observe uab support for SMD/ESD,National Aeronautics and Space Administration
80NSSC24K0115,Grant,Virginia State University,,,,,Termination for convenience agreement - here to observe support for Science Mission Directorate (SMD/ESD),National Aeronautics and Space Administration
80NSSC24K0176,Grant,Virginia Polytechnic Institute & State University,,,,,Termination for convenience agreement - interdisciplinary research in earth science support for Science Mission Directorate (SMD/ESD),National Aeronautics and Space Administration
