award_key,award_id,generated_award_id,award_type,award_type_code,recipient_name,action_date,action_type,modification_number,transaction_amount,transaction_description,award_description,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_zip,recipient_district,pop_city,pop_state,pop_zip,pop_district,total_obligated,total_potential_value,detected_by,sources,override_status
CONT_AWD_80KSC024F0043_8000_80KSC021A0007_8000,80KSC024F0043,CONT_AWD_80KSC024F0043_8000_80KSC021A0007_8000,contract,A,"THE PERFORMANCE KNOWLEDGE GROUP, LLC",2025-03-21,M,P00003,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - STRATEGIC MANAGEMENT SUPPORT SERVICES (SMSS) TASK ORDER FOR LAUNCH SERVICES PROGRAM (LSP).,STRATEGIC MANAGEMENT SUPPORT SERVICES (SMSS) TASK ORDER FOR LSP.,1324 SWIFT CREEK WAY,,WINTER SPRINGS,FL,32708,07,SANFORD,FL,32771,07,137213.00,137213.00,description,mirror,
CONT_AWD_80KSC024F0044_8000_80KSC021A0007_8000,80KSC024F0044,CONT_AWD_80KSC024F0044_8000_80KSC021A0007_8000,contract,A,"THE PERFORMANCE KNOWLEDGE GROUP, LLC",2025-03-21,M,P00001,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE _STRATEGIC MANAGEMENT SUPPORT SERVICES (SMSS) TASK ORDER FOR LAUNCH SERVICES PROGRAM (EGS),STRATEGIC MANAGEMENT SUPPORT SERVICES (SMSS) TASK ORDER FOR EXPLORATION GROUND SUPPORT (EGS),1324 SWIFT CREEK WAY,,WINTER SPRINGS,FL,32708,07,SANFORD,FL,32771,07,77219.10,77219.10,description,mirror,
CONT_AWD_80KSC024F0045_8000_80KSC021A0007_8000,80KSC024F0045,CONT_AWD_80KSC024F0045_8000_80KSC021A0007_8000,contract,A,"THE PERFORMANCE KNOWLEDGE GROUP, LLC",2025-03-21,M,P00001,0.00,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - STRATEGIC MANAGEMENT SUPPORT SERVICES (SMSS) TASK ORDER FOR CENTER ENGINEERING, SAFETY AND OPERATIONS (CESO)",STRATEGIC MANAGEMENT SUPPORT SERVICES (SMSS) BPA FOR CESO.,1324 SWIFT CREEK WAY,,WINTER SPRINGS,FL,32708,07,SANFORD,FL,32771,07,38535.00,38535.00,description,mirror,
CONT_AWD_80LARC19F0086_8000_NNL15AA02B_8000,80LARC19F0086,CONT_AWD_80LARC19F0086_8000_NNL15AA02B_8000,contract,C,CORNELL TECHNICAL SERVICES LLC,2025-03-21,C,P00003,-786.08,"MANAGEMENT, COST AND SCHEDULE EVALUATION SUPPORT FOR THE RADIATION BUDGET INSTRUMENT (RBI) TERMINATION SETTLEMENT COST PROPOSAL.","MANAGEMENT, COST AND SCHEDULE EVALUATION SUPPORT FOR THE RADIATION BUDGET INSTRUMENT (RBI) TERMINATION SETTLEMENT COST PROPOSAL.",9700 PATUXENT WOODS DR,,COLUMBIA,MD,21046,03,HAMPTON,VA,23681,03,28341.92,58741.00,description,mirror,
CONT_IDV_80KSC021A0007_8000,80KSC021A0007,CONT_IDV_80KSC021A0007_8000,idv,IDV_E,"THE PERFORMANCE KNOWLEDGE GROUP, LLC",2025-03-21,F,P00006,0.00,TERMINATE FOR CONVENIENCE AGREEMENT - STRATEGIC MANAGEMENT SUPPORT SERVICES FOR MULTIPLE CUSTOMERS.,BLANKET PURCHASE AGREEMENT FOR STRATEGIC MANAGEMENT SUPPORT SERVICES (SMSS).,1324 SWIFT CREEK WAY,,WINTER SPRINGS,FL,32708,07,,,,,0.00,1900000.00,both,mirror,
CONT_AWD_80HQTR24FA038_8000_80HQTR24AA006_8000,80HQTR24FA038,CONT_AWD_80HQTR24FA038_8000_80HQTR24AA006_8000,contract,A,"CROWN INNOVATIONS, INC.",2025-03-20,M,P00002,0.00,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVIENCE - DATA VISUALIZATION OF PERFORMANCE RATINGS AERONAUTICS RESEARCH MISSION DIRECTORATE, OFFICE OF THE ASSOCIATE ADMINISTRATOR","DATA VISUALIZATION OF PERFORMANCE RATINGS AERONAUTICS RESEARCH MISSION DIRECTORATE, OFFICE OF THE ASSOCIATE ADMINISTRATOR",1530 WILSON BLVD STE 900,,ARLINGTON,VA,22209,08,ARLINGTON,VA,22209,08,136646.85,136646.85,description,mirror,
CONT_AWD_80NSSC24PA753_8000_-NONE-_-NONE-,80NSSC24PA753,CONT_AWD_80NSSC24PA753_8000_-NONE-_-NONE-,contract,B,KEYSIGHT TECHNOLOGIES INC,2025-03-19,F,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT ---- LICENSE MAINTENANCE FOR GENESYS,LICENSE MAINTENANCE FOR GENESYS,1900 GARDEN OF THE GODS RD,,COLORADO SPRINGS,CO,80907,05,COLORADO SPRINGS,CO,80907,05,33662.52,33662.52,both,mirror,
CONT_IDV_80NSSC23AA019_8000,80NSSC23AA019,CONT_IDV_80NSSC23AA019_8000,idv,IDV_E,JONES AND COMPANY PROFESSIONAL CORPORATION,2025-03-18,F,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - AUDIT SERVICES,AUDIT SERVICES,515 S FLOWER STREET 18TH FLOOR,,LOS ANGELES,CA,90071,34,,,,,0.00,250000.00,both,mirror,
CONT_AWD_80HQTR21F0124_8000_GS10F0100T_4730,80HQTR21F0124,CONT_AWD_80HQTR21F0124_8000_GS10F0100T_4730,contract,C,"OVERLOOK SYSTEMS TECHNOLOGIES, INC.",2025-03-17,M,P00022,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - POLICY AND STRATEGIC COMMUNICATIONS (PSC) SUPPORT FOR NASA SPACE COMMUNICATIONS AND NAVIGATION (SCAN) PROGRAM.,"THE CONTRACTOR SHALL PROVIDE A BROAD RANGE OF SPECIALIZED PROGRAMMATIC AND SYSTEM ENGINEERING SUPPORT, TECHNICAL ANALYSES, AND RISK ASSESSMENTS WITH RESPECT TO NASA ACTIVITIES.",1950 OLD GALLOWS RD,,VIENNA,VA,22182,11,VIENNA,VA,22182,11,2472244.00,4390931.61,description,mirror,
CONT_AWD_80NSSC24PA710_8000_-NONE-_-NONE-,80NSSC24PA710,CONT_AWD_80NSSC24PA710_8000_-NONE-_-NONE-,contract,B,"EMP CONSULTANTS, LLC",2025-03-17,F,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - NOVICE LICENSE RENEWAL,NOVICE LICENSE RENEWAL,10 TRIPLE CROWN CT,,NORTH POTOMAC,MD,20878,08,NORTH POTOMAC,MD,20878,08,45960.00,45960.00,both,mirror,
CONT_AWD_80NSSC24PA923_8000_-NONE-_-NONE-,80NSSC24PA923,CONT_AWD_80NSSC24PA923_8000_-NONE-_-NONE-,contract,B,KEYSIGHT TECHNOLOGIES INC,2025-03-17,F,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - RENEW SOFTWARE LICENSE FOR ADS,RENEW SOFTWARE LICENSE FOR ADS,1900 GARDEN OF THE GODS RD,,COLORADO SPRINGS,CO,80907,05,COLORADO SPRINGS,CO,80907,05,10152.96,10152.96,both,mirror,
CONT_AWD_80HQTR25FA007_8000_80HQTR24AA005_8000,80HQTR25FA007,CONT_AWD_80HQTR25FA007_8000_80HQTR24AA005_8000,contract,A,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,2025-03-14,M,P00003,0.00,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVIENCE - REVIEW, VALIDATE, AND ADVISE ON DRAFT PLAN, MESSAGING AND BRANDING OF THE PLAN, PLAN IMPLEMENTATION ANALYSIS AND RECOMMENDATIONS, ROLLOUT & METRICS","REVIEW, VALIDATE, AND ADVISE ON DRAFT PLAN, MESSAGING AND BRANDING OF THE PLAN, PLAN IMPLEMENTATION ANALYSIS AND RECOMMENDATIONS, ROLLOUT & METRICS","12010, SUNSET HILLS ROAD",,RESTON,VA,20190,11,RESTON,VA,20190,11,865076.75,865076.75,description,mirror,
CONT_AWD_80HQTR24F0046_8000_80MSFC21D0009_8000,80HQTR24F0046,CONT_AWD_80HQTR24F0046_8000_80MSFC21D0009_8000,contract,C,"BARRIOS TECHNOLOGY, LLC",2025-03-13,M,P00002,0.00,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - STRATEGIC PLANNING, ANALYSIS, AND PROGRAMMATIC SUPPORT FOR.PLANETARY SCIENCES DIVISION.HQ SCIENCE MISSION DIRECTORATE","STRATEGIC PLANNING, ANALYSIS, AND PROGRAMMATIC SUPPORT FOR.PLANETARY SCIENCES DIVISION.HQ SCIENCE MISSION DIRECTORATE",13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,77059,36,HOUSTON,TX,77059,36,226082.84,261854.32,description,mirror,
CONT_AWD_80HQTR24F0070_8000_80MSFC21D0009_8000,80HQTR24F0070,CONT_AWD_80HQTR24F0070_8000_80MSFC21D0009_8000,contract,C,"BARRIOS TECHNOLOGY, LLC",2025-03-13,M,P00001,0.00,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE- ODEO MISSION SUPPORT ENTERPRISE OFFICES. SUPPORTING THE CIVIL RIGHTS COMPLAINT PROCESS, ADJUDICATION PROCEDURES, COMPLIANCE ACTIVITIES, A CIVIL RIGHTS COMPLIANCE.","WILL PLAY A CRUCIAL ROLE IN SUPPORTING THE CIVIL RIGHTS COMPLAINT PROCESS, ADJUDICATION PROCEDURES, COMPLIANCE ACTIVITIES, AND DEVELOPMENT OF A NEWSLETTER REGARDING CIVIL RIGHTS COMPLIANCE.",13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,77059,36,HOUSTON,TX,77059,36,112312.76,122312.76,description,mirror,
CONT_AWD_80HQTR24F0071_8000_80MSFC21D0009_8000,80HQTR24F0071,CONT_AWD_80HQTR24F0071_8000_80MSFC21D0009_8000,contract,C,"BARRIOS TECHNOLOGY, LLC",2025-03-13,M,P00001,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE-ODEO MISSION SUPPORT ENTERPRISE OFFICES. ..LEVERAGING THE EXPERTISE OF AN ..ADMINISTRATIVE OPERATIONS SPECIALIST.,THE PROJECT AIMS TO ENHANCE ADMINISTRATIVE OPERATIONS ..AND OPTIMIZE EFFICIENCY WITHIN ODEO BY ..LEVERAGING THE EXPERTISE OF AN ..ADMINISTRATIVE OPERATIONS SPECIALIST.,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,77059,36,HOUSTON,TX,77059,36,82838.19,82838.19,description,mirror,
CONT_AWD_80HQTR24F0072_8000_80MSFC21D0009_8000,80HQTR24F0072,CONT_AWD_80HQTR24F0072_8000_80MSFC21D0009_8000,contract,C,"BARRIOS TECHNOLOGY, LLC",2025-03-13,M,P00001,0.00,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE-PROVIDES DATA AND EVIDENCE-DRIVEN ADVICE TO NASA LEADERSHIP TO ASSURE AN INTEGRATED ENTERPRISE APPROACH TO TECHNOLOGY, POLICY, AND STRATEGY.","PROVIDES DATA AND EVIDENCE-DRIVEN ADVICE TO NASA LEADERSHIP TO ASSURE AN INTEGRATED ENTERPRISE APPROACH TO TECHNOLOGY, POLICY, AND STRATEGY.",13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,77059,36,HOUSTON,TX,77059,36,177017.05,177017.05,description,mirror,
CONT_AWD_80HQTR24F0074_8000_80MSFC21D0009_8000,80HQTR24F0074,CONT_AWD_80HQTR24F0074_8000_80MSFC21D0009_8000,contract,C,"BARRIOS TECHNOLOGY, LLC",2025-03-13,M,P00001,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE- ODEO MISSION SUPPORT ENTERPRISE OFFICES. WILL BE RESPONSIBLE FOR OVERSEEING AND MANAGING THE SUCCESSFUL EXECUTION OF THE FOLLOWING SPECIAL PROJECTS:,WILL BE RESPONSIBLE FOR OVERSEEING AND MANAGING THE SUCCESSFUL EXECUTION OF THE FOLLOWING SPECIAL PROJECTS:,13100 SPACE CENTER BLVD,STE 650,HOUSTON,TX,77059,36,HOUSTON,TX,77059,36,82838.19,82838.19,description,mirror,
CONT_IDV_80NSSC24AA011_8000,80NSSC24AA011,CONT_IDV_80NSSC24AA011_8000,idv,IDV_E,DELOITTE CONSULTING LLP,2025-03-13,F,P00004,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - CHANGE MANAGEMENT SUPPORT SERVICE BPAS FOR NASA ADMINISTRATIVE SUITE.,THIS BLANKET PURCHASE AGREEMENT (BPA) IS FOR NASA CHANGE MANAGEMENT SUPPORT SERVICES,1919 N LYNN ST,,ARLINGTON,VA,22209,08,,,,,0.00,15000000.00,both,mirror,
CONT_IDV_80NSSC24AA012_8000,80NSSC24AA012,CONT_IDV_80NSSC24AA012_8000,idv,IDV_E,GUIDEHOUSE INC.,2025-03-13,F,P00004,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - CHANGE MANAGEMENT SUPPORT SERVICE BPAS FOR NASA ADMINISTRATIVE SUITE.,HIS BLANKET PURCHASE AGREEMENT (BPA) IS FOR NASA CHANGE MANAGEMENT SUPPORT SERVICES,1676 INTERNATIONAL DR STE 800,,MC LEAN,VA,22102,11,,,,,0.00,15000000.00,both,mirror,
CONT_IDV_80NSSC24AA013_8000,80NSSC24AA013,CONT_IDV_80NSSC24AA013_8000,idv,IDV_E,"MCKINSEY & COMPANY, INC. WASHINGTON D.C.",2025-03-13,F,P00004,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - CHANGE MANAGEMENT SUPPORT SERVICE BPA'S FOR NASA ADMINISTRATIVE SUITE.,THIS BLANKET PURCHASE AGREEMENT (BPA) IS FOR NASA CHANGE MANAGEMENT SUPPORT SERVICES,1200 19TH ST NW STE 1000,,WASHINGTON,DC,20036,98,,,,,0.00,15000000.00,both,mirror,
CONT_IDV_80NSSC24AA015_8000,80NSSC24AA015,CONT_IDV_80NSSC24AA015_8000,idv,IDV_E,BOOZ ALLEN HAMILTON INC,2025-03-13,F,P00004,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - CHANGE MANAGEMENT SUPPORT SERVICE BPSS FOR NASA ADMINISTRATIVE SUITE.,THIS BLANKET PURCHASE AGREEMENT (BPA) IS FOR NASA CHANGE MANAGEMENT SUPPORT SERVICES,8283 GREENSBORO DR,,MCLEAN,VA,22102,11,,,,,0.00,15000000.00,both,mirror,
CONT_AWD_80NSSC24PC394_8000_-NONE-_-NONE-,80NSSC24PC394,CONT_AWD_80NSSC24PC394_8000_-NONE-_-NONE-,contract,B,PARTNERSHIP FOR PUBLIC SERVICE INC,2025-03-11,F,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - PARTNERSHIP FOR PUBLIC SERVICE. MEMBERSHIP IN THE FEDERAL HUMAN CAPITAL COLLABORATIVE,PARTNERSHIP FOR PUBLIC SERVICE. MEMBERSHIP IN THE FEDERAL HUMAN CAPITAL COLLABORATIVE,600 14TH ST NW,STE 600,WASHINGTON,DC,20005,98,WASHINGTON,DC,20005,98,28750.00,28750.00,both,mirror,
CONT_IDV_80HQTR21AA001_8000,80HQTR21AA001,CONT_IDV_80HQTR21AA001_8000,idv,IDV_E,AIRBUS DS GEO INC.,2025-03-11,F,P00004,0.00,CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLSAT DATA ACQUISITION PROGRAM (CSDAP)THE CONTRACTOR SHALL BE RESPONSIBLE FOR DELIVERY OF A COMPREHENSIVE CATALOGUE OF THE SYNTHETIC APERTURE RADAR (SAR) EARTH OBSERVATION DATA PRODUCTS.,COMMERCIAL SMALLSAT DATA ACQUISITION PROGRAM (CSDAP) THE CONTRACTOR SHALL BE RESPONSIBLE FOR DELIVERY OF A COMPREHENSIVE CATALOGUE OF THE SYNTHETIC APERTURE RADAR (SAR) EARTH OBSERVATION DATA PRODUCTS.,2550 WASSER TER STE 9100,STE 9100,HERNDON,VA,20171,11,,,,,0.00,1.00,action_code,mirror,
CONT_IDV_80HQTR21AA002_8000,80HQTR21AA002,CONT_IDV_80HQTR21AA002_8000,idv,IDV_E,"BLACKSKY GEOSPATIAL SOLUTIONS, LLC",2025-03-11,N,P00005,0.00,LEGAL CONTRACT CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLSAT DATA ACQUISITION PROGRAM (CSDAP) EARTH SCIENCES DIVISION,COMMERCIAL SMALLSAT DATA ACQUISITION PROGRAM (CSDAP),2411 DULLES CORNER PARK STE 300,,HERNDON,VA,20171,11,,,,,0.00,1.00,both,mirror,
CONT_IDV_80HQTR22AA009_8000,80HQTR22AA009,CONT_IDV_80HQTR22AA009_8000,idv,IDV_E,GHGSAT INCORPORATED,2025-03-11,F,P00003,0.00,CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLSAT DATA ACQUISITION (CSDA) PROGRAM - EARTH SCIENCES DIVISION,"COMMERCIAL SMALLSAT DATA ACQUISITION (CSDA) PROGRAM, BLANKET PURCHASE AGREEMENT FOR HIGH RESOLUTION GAS DETECTION, COMMERCIAL EARTH OBSERVATION DATA",3981 BOUL SAINT-LAURENT BUREAU 500,,MONTREAL,,,,,,,,0.00,1.00,action_code,mirror,
CONT_IDV_80HQTR23AA001_8000,80HQTR23AA001,CONT_IDV_80HQTR23AA001_8000,idv,IDV_E,"GEOOPTICS, INC.",2025-03-11,N,P00006,0.00,LEGAL CONTRACT CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLSAT DATA ACQUISITION (CSDA) PROGRAM - EARTH SCIENCES DIVISION,"COMMERCIAL SMALLSAT DATA ACQUISITION (CSDA) PROGRAM, BLANKET PURCHASE AGREEMENT FOR HIGH RESOLUTION RADIO OCCULTATION (RO) COMMERCIAL EARTH OBSERVATION DATA",201 N ORANGE GROVE BLVD STE 503,,PASADENA,CA,91103,30,,,,,0.00,1.00,both,mirror,
CONT_IDV_80HQTR23AA002_8000,80HQTR23AA002,CONT_IDV_80HQTR23AA002_8000,idv,IDV_E,CAPELLA SPACE CORPORATION,2025-03-11,N,P00005,0.00,LEGAL CONTRACT CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLEST DATA ACQUISITION (CSDA) PROGRAM - EARTH SCIENCES DIVISION,"COMMERCIAL SMALLSAT DATA ACQUISITION ON-RAMP 3, BLANKET PURCHASE AGREEMENT FOR HIGH RESOLUTION SYNTHETIC APERTURE RADAR (SAR) (0.5M TO 1.2M) COMMERCIAL EARTH OBSERVATION DATA",450 SHOTWELL ST,,SAN FRANCISCO,CA,94110,11,,,,,0.00,0.01,both,mirror,
CONT_IDV_80HQTR23AA003_8000,80HQTR23AA003,CONT_IDV_80HQTR23AA003_8000,idv,IDV_E,"ICEYE US, INC",2025-03-11,N,P00003,0.00,LEGAL CONTRACT CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLSAT DATA ACQUISITION (CSDA) PROGRAM - EARTH SCIENCES DIVISION,"COMMERCIAL SMALLSAT DATA ACQUISITION ONRAMP 3, BLANKET PURCHASE AGREEMENT FOR HIGH RESOLUTION SYNTHETIC APERTURE RADAR (SAR) (1 M TO 15 M) COMMERCIAL EARTH OBSERVATION DATA",70 DISCOVERY,,IRVINE,CA,92618,47,,,,,0.00,0.01,both,mirror,
CONT_AWD_80NSSC25FA034_8000_47QRAA19D006N_4732,80NSSC25FA034,CONT_AWD_80NSSC25FA034_8000_47QRAA19D006N_4732,contract,C,"TECHPRIDE, INC.",2025-03-10,F,P00002,-174236.00,"TERMINATION FOR CONVENIENCE AGREEMENT - CONSULTING SERVICES TO FACILITATE PROGRAM ALIGNMENT TO LONG-TERM STRATEGIC VISION, ORGANIZATIONAL DEVELOPMENT, AND SKILL BUILDING","CONSULTING SERVICES TO FACILITATE PROGRAM ALIGNMENT TO LONG-TERM STRATEGIC VISION, ORGANIZATIONAL DEVELOPMENT, AND SKILL BUILDING",1750 KRAFT DR STE 1504,,BLACKSBURG,VA,24060,09,BLACKSBURG,VA,24060,09,75664.00,75664.00,both,mirror,
CONT_AWD_80NSSC23PB368_8000_-NONE-_-NONE-,80NSSC23PB368,CONT_AWD_80NSSC23PB368_8000_-NONE-_-NONE-,contract,B,PACIFIC RESEARCH & EVALUATION LLC,2025-03-06,F,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT -- AUDIENCE EVALUATION OF ENGAGEMENT CONTENT AND MATERIALS,AUDIENCE EVALUATION OF ENGAGEMENT CONTENT AND MATERIALS,3507 S CORBETT AVE,,PORTLAND,OR,97239,01,PORTLAND,OR,97239,01,183337.00,183337.00,both,mirror,
CONT_AWD_80NSSC24PC049_8000_-NONE-_-NONE-,80NSSC24PC049,CONT_AWD_80NSSC24PC049_8000_-NONE-_-NONE-,contract,B,SOCIETY OF WOMEN ENGINEERS,2025-03-06,F,P00002,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - SOCIETY OF WOMEN ENGINEERS (SWE) CORPORATE PARTNERSHIP COUNCIL AND PARTICIPATION IN ASSOCIATED RECRUITING EVENTS,SOCIETY OF WOMEN ENGINEERS (SWE) CORPORATE PARTNERSHIP COUNCIL AND PARTICIPATION IN ASSOCIATED RECRUITING EVENTS,130 E RANDOLPH STREET 3500,,CHICAGO,IL,60601,07,CHICAGO,IL,60601,07,33100.00,33100.00,both,mirror,
CONT_AWD_80HQTR23FA044_8000_80GSFC23DA004_8000,80HQTR23FA044,CONT_AWD_80HQTR23FA044_8000_80GSFC23DA004_8000,contract,C,"CHENEGA GLOBAL PROTECTION, LLC",2025-02-27,F,P00005,-136103.40,TERMINATION FOR CONVENIENCE AGREEMENT- EARTH INFORMATION CENTER (EIC) SUPPORT FOR NASA OFFICE OF PROTECTIVE SERVICES,NASA HQ PROTECTIVE SERVICE- SECURITY POLICE OFFICER POST- EAST LOBBY- EARTH INFORMATION CENTER (EIC),14420 ALBEMARLE POINT PL STE 100,,CHANTILLY,VA,20151,11,WASHINGTON,DC,20546,98,231345.20,231345.20,both,mirror,
CONT_AWD_80TECH25PA010_8000_-NONE-_-NONE-,80TECH25PA010,CONT_AWD_80TECH25PA010_8000_-NONE-_-NONE-,contract,B,BRUKER SCIENTIFIC LLC,2025-02-26,F,P00001,-368683.92,VERTEX 80V SPECTROMETER,VERTEX 80V SPECTROMETER,40 MANNING RD,,BILLERICA,MA,01821,03,GREENBELT,MD,20771,04,0.00,0.00,action_code,mirror,
CONT_AWD_80NSSC23FA279_8000_GS10F0331M_4730,80NSSC23FA279,CONT_AWD_80NSSC23FA279_8000_GS10F0331M_4730,contract,C,CREATIVE SOLUTIONS INTERNATIONAL COPORATION,2025-02-20,F,P00003,-6154.45,TERMINATION FOR CONVENIENCE AGREEMENT - CREATIVE SOLUTIONS CONSULTING SERVICES (DEBORAH KLOTZ) IN SUPPORT OF THE OCIO TRANSFORMATION PROJECT.,CREATIVE SOLUTIONS CONSULTING SERVICES (DEBORAH KLOTZ) IN SUPPORT OF THE OCIO TRANSFORMATION PROJECT.,3516 6TH S ST,,ARLINGTON,VA,22204,08,ARLINGTON,VA,22204,08,138793.75,138793.75,both,mirror,
CONT_AWD_80NSSC24PC331_8000_-NONE-_-NONE-,80NSSC24PC331,CONT_AWD_80NSSC24PC331_8000_-NONE-_-NONE-,contract,B,"ELI GROUP, LLC",2025-02-19,F,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - EXECUTIVE LEADERSHIP IMPACT,EXECUTIVE LEADERSHIP IMPACT,3904 IMMEL DR,,FLOWER MOUND,TX,75022,26,FLOWER MOUND,TX,75022,26,27500.00,27500.00,both,mirror,
CONT_AWD_80NSSC24PA609_8000_-NONE-_-NONE-,80NSSC24PA609,CONT_AWD_80NSSC24PA609_8000_-NONE-_-NONE-,contract,B,"POLITICO, LLC",2025-02-18,F,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - POLITICO PRO AGREEMENT FOR OCFO,POLITICO PRO AGREEMENT FOR OCFO,1000 WILSON BLVD FL 8,,ARLINGTON,VA,22209,08,ARLINGTON,VA,22209,08,10600.00,10600.00,both,mirror,
CONT_AWD_80NSSC24PA723_8000_-NONE-_-NONE-,80NSSC24PA723,CONT_AWD_80NSSC24PA723_8000_-NONE-_-NONE-,contract,B,"POLITICO, LLC",2025-02-18,F,P00001,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - RENEWAL FOR POLITICO PRO SERVICE FOR OLIA,RENEWAL FOR POLITICO PRO SERVICE FOR OLIA,1000 WILSON BLVD FL 8,,ARLINGTON,VA,22209,08,ARLINGTON,VA,22209,08,202600.00,202600.00,both,mirror,
CONT_AWD_80MSFC20C0050_8000_-NONE-_-NONE-,80MSFC20C0050,CONT_AWD_80MSFC20C0050_8000_-NONE-_-NONE-,contract,D,SPATIAL INFORMATICS GROUP LLC,2025-02-07,M,P00011,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO DE-SCOPE - SERVIR GLOBAL NETWORK CAPABILITY PROGRAM,SERVIR GLOBAL NETWORK CAPABILITY PROGRAM,2529 YOLANDA CT,,PLEASANTON,CA,94566,14,PLEASANTON,CA,94588,14,954983.90,954983.90,description,mirror,
CONT_AWD_80NSSC24PA590_8000_-NONE-_-NONE-,80NSSC24PA590,CONT_AWD_80NSSC24PA590_8000_-NONE-_-NONE-,contract,B,"ELI GROUP, LLC",2025-01-31,F,P00001,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - 2024 LEADERSHIP LAB FOR WOMEN,2024 LEADERSHIP LAB FOR WOMEN,3904 IMMEL DR,,FLOWER MOUND,TX,75022,26,FLOWER MOUND,TX,75022,26,27500.00,27500.00,both,mirror,
CONT_AWD_80JSC024FA135_8000_80JSC023AA001_8000,80JSC024FA135,CONT_AWD_80JSC024FA135_8000_80JSC023AA001_8000,contract,A,BOOZ ALLEN HAMILTON INC,2025-01-27,F,P00002,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE TERMINATED IAW EO 14151-STRATEGIC PROFESSIONAL ENGINEERING ASSESSMENT CONTRACT II (SPEAC II),STRATEGIC PROFESSIONAL ENGINEERING ASSESSMENT CONTRACT II (SPEACII) - TASK ORDER 104 BASE - DEIA ORGANIZATIONAL CLIMATE SURVEY AND BARRIER ANALYSIS ASSESSMENT,8283 GREENSBORO DR,,MC LEAN,VA,22102,11,HOUSTON,TX,77058,36,701923.00,701923.00,both,mirror,
CONT_AWD_80JSC024FA083_8000_80JSC023AA001_8000,80JSC024FA083,CONT_AWD_80JSC024FA083_8000_80JSC023AA001_8000,contract,A,BOOZ ALLEN HAMILTON INC,2025-01-24,F,P00002,-1384035.00,TERMINATION FOR CONVENIENCE AGREEMENT - SPEACII - TASK ORDER 84 - NASA ODEO DEIA DATA ANALYTICS AND ASSESSMENT,SPEACII - TASK ORDER 84 BASE - NASA ODEO DEIA DATA ANALYTICS AND ASSESSMENT,8283 GREENSBORO DR,,MC LEAN,VA,22102,11,HOUSTON,TX,77058,36,1923416.00,1923416.00,both,mirror,
