award_key,award_id,generated_award_id,award_type,award_type_code,recipient_name,action_date,action_type,modification_number,transaction_amount,transaction_description,award_description,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_zip,recipient_district,pop_city,pop_state,pop_zip,pop_district,total_obligated,total_potential_value,detected_by,sources,override_status
CONT_AWD_80NM0018F0669_8000_80NM0018D0004_8000,80NM0018F0669,CONT_AWD_80NM0018F0669_8000_80NM0018D0004_8000,contract,C,CALIFORNIA INSTITUTE OF TECHNOLOGY,2025-04-07,M,P00007,0.00,STOP WORK ORDER ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - GEOSTATIONARY CARBON CYCLE OBSERVATORY (GEOCARB) PRE-PHASE A AND PHASE A (87-700073) FOR SMD DIRECTORATE,"GEOSTATIONARY CARBON CYCLE OBSERVATORY (GEOCARB) PRE-PHASE A AND PHASE A THE CONTRACT IS THE SPONSORING AGREEMENT BETWEEN THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) AND THE CALIFORNIA INSTITUTE OF TECHNOLOGY (CONTRACTOR), A PRIVATE NONPROFIT EDUCATIONAL INSTITUTION, WHICH ESTABLISHES THE RELATIONSHIP FOR THE OPERATION OF THE FEDERALLY FUNDED RESEARCH AND DEVELOPMENT CENTER (FFRDC) KNOWN AS THE JET PROPULSION LABORATORY. THE CONTRACTOR, JPL, IS REQUIRED TO PERFORM WORK THAT IS DESIGNATED IN TASK ORDERS ISSUED BY THE NASA MANAGEMENT OFFICE (NMO) CONTRACTING OFFICERS. NASA - SPONSORED WORK: JPL'S PRIMARY MISSION IS TO SUPPORT THE NASA SCIENCE MISSION DIRECTORATE (SMD) IN CARRYING OUT THE SPECIFIC OBJECTIVES IDENTIFIED IN THE SMD SCIENCE PLAN. THE FOUR BROAD SCIENTIFIC AREAS ARE: EARTH SCIENCE, PLANETARY SCIENCE, HELIOPHYSICS, AND ASTROPHYSICS. IN PERFORMANCE OF THIS CONTRACT, JPL SHALL: 1) SUPPLY A BROAD BASE OF SCIENTIFIC AND TECHNICAL CAPABILITIES RELEVANT TO NASA PROGRAM AND PROJECT RESPONSIBILITIES AND ASSIGNMENTS. 2) FOSTER ITS UNIQUE RELATIONSHIP WITH A TOP-TIER UNIVERSITY TO FACILITATE THE INVOLVEMENT OF SCIENTISTS, ENGINEERS, AND STUDENTS FROM THE UNIVERSITY AND RESEARCH COMMUNITIES IN NASA MISSION AND IN SUPPORTING OTHER GOVERNMENT AGENCIES. 3) SUPPORT NASA IN ENABLING PROGRAM AND INSTITUTIONAL CAPABILITIES. 4) DEVELOP SPACECRAFT AND INSTRUMENTS THAT ARE SENT TO VARIOUS DESTINATIONS WITH OUR SOLAR SYSTEM, INCLUDING EARTH ORBIT, PLANETS, PLANETARY SATELLITES, ASTEROIDS, AND COMETS. THESE MISSIONS MAY BE ORBITERS, LANDERS, OR ROVERS, AND TYPICALLY INCLUDE CUTTING-EDGE TECHNOLOGIES REQUIRED TO MEET SCIENTIFIC REQUIREMENTS. 5) PERFORM PROJECT TASKS INVOLVING: (I) AUTONOMOUS DEEP-SPACE, INNER-SPACE AND EARTH-ORBITING SPACECRAFT OR MAJOR SUBSYSTEMS, (II) EXPERIMENTS, INSTRUMENTS, OR OTHER DEVICES WHICH MAY BE CARRIED AS PAYLOAD ON SPACECRAFTS IN MISSIONS MANAGED BY OTHERS, AND/OR (III) GROUND-BASED SYSTEMS. 6) BEYOND ITS PRIMARY MISSION, JPL MAY PERFORM WORK FOR OTHER NASA MISSION DIRECTORATES OR OFFICES. 7) JPL IS ALSO RESPONSIBLE FOR THE OPERATION, RESEARCH, TECHNOLOGY INSERTION, AND MANAGEMENT OF NASA S DEEP SPACE NETWORK TO PROVIDE TELECOMMUNICATION AND OPERATION SERVICES, INCLUDING DATA ACQUISITION AND DATA DELIVERY REQUIRED TO MEET ESTABLISHED AGENCY OBJECTIVES. 8) JPL IS ALSO REQUIRED TO MAINTAIN AND CONDUCT AN EDUCATION PROGRAM IN CLOSE COORDINATION WITH THE NASA HEADQUARTERS EDUCATION OFFICE, THE ACADEMIC COMMUNITY AT LARGE, AND IN SUPPORT TO NASA STRATEGIC OBJECTIVES TO IMPROVE STUDENT RETENTION IN THE SCIENCE, TECHNOLOGY, ENGINEERING, AND MATHEMATICS (STEM) DISCIPLINES. WORK FOR NON-NASA SPONSORS: JPL MAY PERFORM WORK FOR NON-NASA SPONSORS. THIS WORK WILL BE DESIGNATED IN TASK ORDERS ISSUED BY NMO CONTRACTING OFFICERS BASED ON TASK PLANS INITIATED BY THE CONTRACTOR.",4800 OAK GROVE DR,,PASADENA,CA,91109,28,PASADENA,CA,91109,28,906320.78,2098679.00,description,mirror,
CONT_IDV_80HQTR22AA003_8000,80HQTR22AA003,CONT_IDV_80HQTR22AA003_8000,idv,IDV_E,RMA ASSOCIATES LLC,2025-04-03,N,P00005,0.00,LEGAL CONTRACT CANCELLATION - NASA'S ANNUAL FISMA EVALUATION SUPPORT FOR OIG DIRECTORATE,NASA'S FISMA REQUIREMENT - INFORMATION SECURITY PROGRAM AUDIT,1005 N GLEBE RD STE 610,,ARLINGTON,VA,22201,08,,,,,0.00,4500000.00,both,mirror,
CONT_AWD_80NSSC24PA210_8000_-NONE-_-NONE-,80NSSC24PA210,CONT_AWD_80NSSC24PA210_8000_-NONE-_-NONE-,contract,B,UNIBAP SPACE SOLUTIONS AB (PUBL),2025-03-28,F,P00002,-70000.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - UNIBAP - OSE-SAT IN-SPACE AUTONOMY TESTBED,UNIBAP - OSE-SAT IN-SPACE AUTONOMY TESTBED,VASTRA AGATAN 16,,UPPSALA,,,,MOUNTAIN VIEW,CA,94035,16,70000.00,70000.00,both,mirror,
CONT_AWD_80NSSC25FA145_8000_GS07F216BA_4732,80NSSC25FA145,CONT_AWD_80NSSC25FA145_8000_GS07F216BA_4732,contract,C,"B/W COLOR PRINTS, LLC",2025-03-25,M,P00001,0.00,STOP WORK NOTICE ISSUED - SERVICE FOR INSTALLATION OF THE SCIENCE ON THE SPHERE SYSTEM,SERVICE FOR INSTALLATION OF THE SCIENCE ON THE SPHERE SYSTEM,8325 OLD MARLBORO PIKE,STE A9,UPPER MARLBORO,MD,20772,05,UPPER MARLBORO,MD,20772,05,10771.00,10771.00,description,mirror,
CONT_AWD_80NSSC22PB703_8000_-NONE-_-NONE-,80NSSC22PB703,CONT_AWD_80NSSC22PB703_8000_-NONE-_-NONE-,contract,B,HO-CHUNK SHARED SERVICES COMPANY,2025-03-24,F,P00003,0.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMIATE FOR CONVEINCE - GSFC STRATEGIC ASSESSMENT SUPPORT (GSAS),GSFC STRATEGIC ASSESSMENT SUPPORT (GSAS),1 MISSION DR,,WINNEBAGO,NE,68071,03,WINNEBAGO,NE,68071,03,109953.67,109953.67,both,mirror,
ASST_NON_80NSSC22K1658_080,80NSSC22K1658,ASST_NON_80NSSC22K1658_080,grant,04,CLEVELAND STATE UNIVERSITY,2025-03-21,B,P00003,0.00,TERMINATION FOR CONVENIENCE AGREEMENT- 22-CSDSA22_2-0014 COMMERCIAL SATELLITE DATA ANALYSIS CHARACTERIZING CANOPY CHLOROPHYLL AND PHOTOSYNTHETIC PRODUCTIVITY FOR AGRICULTURAL CROPS AND FOREST MONITORING SUPPORT FOR SMD/ESD DIRECTORATE,IMPROVED MONITORING AND MANAGEMENT OF URBAN TREE EQUITY: INTEGRATING METRICS OF TREE QUALITY WITH TREE COVER,2121 EUCLID AVE,,CLEVELAND,OH,44115,11,CLEVELAND,OH,44115,11,149765.00,,description,mirror,
ASST_NON_80NSSC22K1673_080,80NSSC22K1673,ASST_NON_80NSSC22K1673_080,grant,04,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2025-03-21,B,P00003,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - EARTH SCIENCE APPLICATIONS: EQUITY AND ENVIRONMENTAL JUSTICE SUPPORT FOR SCIENCE MISSION DIRECTORATE (SMD/ESD),APPLYING THE EVDT INTEGRATED MODELING FRAMEWORK FOR ENVIRONMENTAL JUSTICE APPLICATIONS,77 MASSACHUSETTS AVE,,CAMBRIDGE,MA,02139,07,CAMBRIDGE,MA,02139,07,250000.00,,description,mirror,
ASST_NON_80NSSC22K1675_080,80NSSC22K1675,ASST_NON_80NSSC22K1675_080,grant,04,UNIVERSITY OF TEXAS AT AUSTIN,2025-03-21,B,P00003,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - EARTH SCIENCE APPLICATIONS: EQUITY AND ENVIRONMENTAL JUSTICE SUPPORT FOR SMD/ESD MISSION DIRECTORATE,EO14042 ATX CA3TCH UP: CLIMATE ATLAS FOR ACCOUNTABILITY AND ADVOCACY STRATEGIES THROUGH CO-PRODUCTION WITH HISTORICALLY UNDERSERVED COMMUNITY PARTNERS IN AUSTIN TX,110 INNER CAMPUS DR,,AUSTIN,TX,78712,25,AUSTIN,TX,78712,25,249842.00,,description,mirror,
ASST_NON_80NSSC24K0114_080,80NSSC24K0114,ASST_NON_80NSSC24K0114_080,grant,04,OHIO AEROSPACE INSTITUTE,2025-03-21,B,P00002,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - HERE TO OBSERVE (H2O) - OHIO AND PUERTO RICO SPACE GRANT CONSORTIUMS SUPPORT FOR SCIENCE MISSION DIRECTORATE (SMD/ESD),HERE TO OBSERVE (H2O) - OHIO AND PUERTO RICO SPACE GRANT CONSORTIUMS,22800 CEDAR POINT RD,,BROOK PARK,OH,44142,07,BROOK PARK,OH,44142,07,94143.09,,description,mirror,
ASST_NON_80NSSC24K0177_080,80NSSC24K0177,ASST_NON_80NSSC24K0177_080,grant,04,THE JOHNS HOPKINS UNIVERSITY,2025-03-21,B,P00003,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - INTERDISCIPLINARY RESEARCH IN EARTH SCIENCES SUPPORT FOR SCIENCE MISSION DIRECTORATE (SMD/ESD),22-IDS22-0055 RESOLVING INTRA-URBAN VARIABILITY IN HEAT AND AIR QUALITY FROM SPACE AND THE GROUND: LEVERAGING DIVERSE OBSERVATIONS TO SUPPORT ENVIRONMENTAL JUSTICE,3400 N CHARLES ST,,BALTIMORE,MD,21218,07,BALTIMORE,MD,21218,07,507640.22,,description,mirror,
