award_key,award_id,generated_award_id,award_type,recipient_name,action_date,action_type,modification_number,transaction_amount,transaction_description,award_description,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_zip,pop_city,pop_state,pop_zip,detected_by,sources,override_status
CONT_AWD_80NM0024F0047_8000_80NM0018D0004_8000,80NM0024F0047,CONT_AWD_80NM0024F0047_8000_80NM0018D0004_8000,contract,California Institute of Technology,2026-04-13,M,P00004,0.00,Termination for convenience agreement - advancing vietnam'S marine spatial planning for offshore wind energy development (82-222737),ADVANCING VIETNAM'S MARINE SPATIAL PLANNING FOR OFFSHORE WIND ENERGY DEVELOPMENT (82-222737),4800 OAK GROVE DR,,PASADENA,CA,91109,PASADENA,CA,91109,description,api,
CONT_AWD_80MSFC21CA001_8000_-NONE-_-NONE-,80MSFC21CA001,CONT_AWD_80MSFC21CA001_8000_-NONE-_-NONE-,contract,Lockheed Martin Corp,2026-04-03,F,P00019,0.00,"Tipping point Cryogenic Demonstration Mission (CDM) establish the final settlement between the government and contractor resulting from the termination for convenience of contract no. 80msfc21ca001 issued on august 8, 2024.",TIPPING POINT CRYOGENIC DEMONSTRATION MISSION (CDM) DELIVER GROUND AND MISSION DATA TO CHARACTERIZE FULL-SCALE CRYOGENIC INTEGRATED SYSTEM PERFORMANCE.,12257 S WADSWORTH BLVD,,LITTLETON,CO,80125,LITTLETON,CO,80125,both,api,
CONT_AWD_80HQTR22F0076_8000_80HQTR21D0004_8000,80HQTR22F0076,CONT_AWD_80HQTR22F0076_8000_80HQTR21D0004_8000,contract,"Icf Incorporated, LLC",2026-03-18,F,P00010,0.00,Support for u.S.participation in theintergovernmentalpanel on climatechange and relatedinternationalassessments,SUPPORT FOR U.S. PARTICIPATION IN THE INTERGOVERNMENTAL PANEL ON CLIMATE CHANGE AND RELATED INTERNATIONAL ASSESSMENTS,9300 LEE HWY,,FAIRFAX,VA,22031,FAIRFAX,VA,22031,action_code,api,
CONT_AWD_80HQTR22F0109_8000_80HQTR21D0004_8000,80HQTR22F0109,CONT_AWD_80HQTR22F0109_8000_80HQTR21D0004_8000,contract,"Icf Incorporated, LLC",2026-03-18,F,P00005,0.00,Specialized support services for a Carbon Cycle Interagency Working Group (CCIWG) coordinator to the U.S. Global Change Research Program (USGCRP) National Coordination Office (NCO).,THE PURPOSE TASK IS TO PROVIDE A SCOPE FOR SPECIALIZED SUPPORT SERVICES FOR A CARBON CYCLE INTERAGENCY WORKING GROUP (CCIWG) COORDINATOR TO THE U.S. GLOBAL CHANGE RESEARCH PROGRAM (USGCRP) NATIONAL COORDINATION OFFICE (NCO).,9300 LEE HWY,,FAIRFAX,VA,22031,FAIRFAX,VA,22031,action_code,api,
CONT_AWD_80LARC24F0039_8000_80GSFC19D0011_8000,80LARC24F0039,CONT_AWD_80LARC24F0039_8000_80GSFC19D0011_8000,contract,The Aerospace Corporation,2026-03-17,M,P00002,0.00,Termination for convenience agreement - NASA engineering and safety center'S (NESC) team to guise future human-rated spacecraft providers on designing and verifying a spacecraft fire system.,"NASA ENGINEERING AND SAFETY CENTER'S (NESC) TEAM TO GUIDE FUTURE HUMAN-RATED SPACECRAFT FIRE SAFETY SYSTEM IN ACCORDANCE WITH THE STATEMENT OF WORK TITLED ""TI-21-01651 SPACECRAFT FIRE SAFETY STANDARD.""",2310 EAST EL SEGUNDO BLVD,,EL SEGUNDO,CA,90245,EL SEGUNDO,CA,90245,description,api,
CONT_AWD_80LARC25F7003_8000_80GSFC19D0011_8000,80LARC25F7003,CONT_AWD_80LARC25F7003_8000_80GSFC19D0011_8000,contract,The Aerospace Corporation,2026-03-17,M,P00002,0.00,Termination for convenience agreement- NASA engineering and safety center'S (NESC) environmental control and life support (ECLSS) Technical Discipline Team (TDT).,"NASA ENGINEERING AND SAFETY CENTER'S (NESC) ENVIRONMENTAL CONTROL AND LIFE SUPPORT (ECLSS) TECHNICAL DISCIPLINE TEAM (TDT), PROVIDES TECHNICAL EXPERTISE FOR RESOLUTION OF ISSUES RELATED TO VEHICLE AND SPACESUIT ENVIRONMENTAL CONTROL.",2310 EAST EL SEGUNDO BLVD,,EL SEGUNDO,CA,90245,EL SEGUNDO,CA,90245,description,api,
CONT_IDV_80HQTR21D0004_8000,80HQTR21D0004,CONT_IDV_80HQTR21D0004_8000,idv,"Icf Incorporated, LLC",2026-03-03,F,P00031,0.00,Support for the United States .Global Change Research Program (USGCRP).National Coordination Office (NCO). t4c agreement finalization for Earth sciences group.,"USGCRP CONTRACT IS TO ACQUIRE TECHNICAL AND ADMINISTRATIVE SUPPORT FOR THE USGCRP NATIONAL COORDINATION OFFICE (NCO)TO ASSIST THE NATION AND THE WORLD TO UNDERSTAND, ASSESS, PREDICT, AND RESPOND TO HUMAN-INDUCED AND NATURAL PROCESSES OF GLOBAL CHANGE",9300 LEE HWY,,FAIRFAX,VA,22031,,,,both,api,
CONT_AWD_80GSFC23CA030_8000_-NONE-_-NONE-,80GSFC23CA030,CONT_AWD_80GSFC23CA030_8000_-NONE-_-NONE-,contract,Honeybee Robotics LLC,2025-09-29,F,P00010,343290.45,"Terminate for convenience agreement - Mars Sample Return (MSR) Capture, Containment and Return Systems (CCRS) Earth Entry System (EES) Spin Eject Mechanism (SEM) for smd directorate.","MARS SAMPLE RETURN (MSR) CAPTURE, CONTAINMENT AND RETURN SYSTEMS (CCRS) EARTH ENTRY SYSTEM (EES) SPIN EJECT MECHANISM (SEM) TO SUPPORT THE ENTRY VEHICLE DURING ALL THE MISSION PHASES",1830 LEFTHAND CIR,STE C,LONGMONT,CO,80501,LONGMONT,CO,80501,both,api,
ASST_NON_80NSSC24K0115_080,80NSSC24K0115,ASST_NON_80NSSC24K0115_080,grant,Virginia State University,2025-09-25,D,P00003,-149900.00,Termination for convenience agreement - here to observe support for science mission directorate (SMD/ESD),23H2O230009 VIRGINIA STATE UNIVERSITY NASA H2O PROGRAM,1 HAYDEN DR,,PETERSBURG,VA,23803,PETERSBURG,VA,23803,description,api,
ASST_NON_80NSSC24K1193_080,80NSSC24K1193,ASST_NON_80NSSC24K1193_080,grant,Cornell University,2025-09-25,D,P00002,-164732.25,Termination for convenience agreement - topical workshops symposiums and conferences science mission directorate (smd/planetary),AN INNOVATIVE WORKSHOP ON EDIA FOR LEADERS IN PLANETARY SCIENCE,341 PINE TREE RD,,ITHACA,NY,14850,ITHACA,NY,14850,description,api,
ASST_NON_80NSSC25K7032_080,80NSSC25K7032,ASST_NON_80NSSC25K7032_080,grant,Emory University,2025-09-25,D,P00003,-209014.09,Termination for convenience agreement - advancing environmental justice in atlanta through gis-enabled community engagement - support for smd directorate,ADVANCING ENVIRONMENTAL JUSTICE IN ATLANTA THROUGH GIS-ENABLED COMMUNITY ENGAGEMENT,201 DOWMAN DR NE,,ATLANTA,GA,30322,ATLANTA,GA,30322,description,api,
CONT_AWD_80NSSC24FA979_8000_80NSSC24AA010_8000,80NSSC24FA979,CONT_AWD_80NSSC24FA979_8000_80NSSC24AA010_8000,contract,"Bryce Space and Technology, LLC",2025-09-12,M,P00004,-124874.86,"Termination for convenience agreement - change management support service bpa call for office of technology, policy, and strategy independent diagnostic and strategic advisory support (otps-idsas).","TO PROVIDE NASA LEADERSHIP WITH INDEPENDENT DIAGNSOTICS AND STRATEGIC ADVISORY WORK ON MATTERS INVOLVING, TECHNOLOGY POLICY AND ECONOMICS THROUGH INDEPENDENT RESEARCH AND ANALYSIS THAT ANSWERS SPECIFIC QUESTIONS ON TOPICS OF INTEREST.",1737 KING ST STE 601,,ALEXANDRIA,VA,22314,ALEXANDRIA,VA,22314,description,api,
CONT_AWD_80GSFC23CA005_8000_-NONE-_-NONE-,80GSFC23CA005,CONT_AWD_80GSFC23CA005_8000_-NONE-_-NONE-,contract,Southwest Research Institute,2025-09-11,F,P00006,40788.00,Complete termination for convenience of NASA Geospace Dynamics Constellation (GDC) Comprehensive Auroral Precipitation Experiment (CAPE),GEOSPACE DYNAMICS CONSTELLATION (GDC) COMPREHENSIVE AURORAL PRECIPITATION EXPERIMENT (CAPE) PHASE A AND B BRIDGE,6220 CULEBRA RD,,SAN ANTONIO,TX,78238,SAN ANTONIO,TX,78238,both,api,
ASST_NON_80NSSC22K1681_080,80NSSC22K1681,ASST_NON_80NSSC22K1681_080,grant,The University of Texas Rio Grande Valley,2025-09-10,D,P00005,-29778.36,Termination for convenience agreement - Earth science applications: equity and environmental justice support for smd/esd,21-EEJ21-0061 INTEGRATION OF SATELLITE DATA ON AIR POLLUTION WITH SOCIOECONOMIC INDICATORS TO ASSESS THE IMPACTS OF AGRICULTURAL BURNING ON LOCAL COMMUNITIES IN THE LOWER RIO GRANDE VALLEY OF SOUTH TEXAS.,1201 WEST UNIVERSITY DR,,EDINBURG,TX,78539,EDINBURG,TX,78539,description,api,
