award_key,award_id,generated_award_id,award_type,recipient_name,action_date,action_type,modification_number,transaction_amount,transaction_description,award_description,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_zip,pop_city,pop_state,pop_zip,detected_by,sources,override_status
ASST_NON_80NSSC19K1666_080,80NSSC19K1666,ASST_NON_80NSSC19K1666_080,grant,"Imec USA Nanoelectronics Design Center, Inc",2025-08-05,D,P00003,-4219.53,Termination for convenience agreement - rodent hindlimb suspension rodent csf and direct icp & biomarkers - support for somd directorate,THIS STATEMENT OF WORK ENCOMPASSES THREE PROJECTS WITH SIGNIFICANT CONTRIBUTIONS FROM DR. SUSANA ZANELLO AT IMEC USA FLORIDA. THREE PROJECTS WERE AWARDED IN RESPONSE TO THREE SEPARATE NASA RESEARCH ANNOUNCEMENT SOLICITATIONS EACH LISTED BELOW. THIS NASA GRANT WILL COVER THREE PROJECTS ALREADY UNDERWAY FOR WHICH DR. ZANELLO IS THE PRINCIPAL INVESTIGATOR EACH LISTED AND DESCRIBED INDIVIDUALLY HEREIN. PROJECT 1 TITLE: EVALUATION OF HINDLIMB SUSPENSION AS A MODEL TO STUDY OPHTHALMIC COMPLICATIONS IN MICROGRAVITY: OCULAR STRUCTURE AND FUNCTION AND ASSOCIATION WITH INTRACRANIAL PRESSURE SOLICITATION: NNJ11ZSA002NA: RESEARCH AND TECHNOLOGY DEVELOPMENT TO SUPPORT CREW HEALTH AND PERFORMANCE IN SPACE EXPLORATION MISSIONS PROJECT 2 TITLE: A GENE EXPRESSION AND HISTOLOGIC APPROACH TO THE STUDY OF CEREBROSPINAL FLUID PRODUCTION AND OUTFLOW IN HINDLIMB SUSPENDED RATS SOLICITATION: NNJ13ZSA002N-FLAGSHIP: NASA RESEARCH AND TECHNOLOGY DEVELOPMENT TO SUPPORT CREW HEALTH AND PERFORMANCE IN SPACE EXPLORATION MISSIONS PROJECT 3 TITLE: MULTIMODAL MODELING TOWARDS NONINVASIVE ASSESSMENT OF INTRACRANIAL PRESSURE IN WEIGHTLESSNESS AND BIOMARKER IDENTIFICATION OF PREDISPOSITION TO VIIP SYNDROME SOLICITATION: NNJ13ZSA002N-ILSRA: INTERNATIONAL LIFE SCIENCES RESEARCH ANNOUNCEMENT (ILSRA),190 NEOCITY WAY,,KISSIMMEE,FL,34744,KISSIMMEE,FL,34744,description,api,
ASST_NON_80NSSC21M0005_080,80NSSC21M0005,ASST_NON_80NSSC21M0005_080,grant,Oklahoma State University,2025-07-22,D,P00008,-839920.81,Termination for convenience agreement - Science activation program integration/ Science engagement & partnerships division for support for Science Mission Directorate (SMD),THE PRIMARY OBJECTIVE OF THE NATIVE EARTH NATIVE SKY (NENS) PROGRAM IS TO BUILD CULTURALLY-RELEVANT EARTH-SKY STEM PROGRAMMING FOR MIDDLE SCHOOLERS IN THREE OKLAHOMA NATIVE AMERICAN NATIONS THAT WILL INCREASE THE STUDENTS UNDERSTANDING OF,401 WHITEHURST HALL,,STILLWATER,OK,74078,STILLWATER,OK,74078,description,api,
ASST_NON_80NSSC21K1069_080,80NSSC21K1069,ASST_NON_80NSSC21K1069_080,grant,President and Fellows of Harvard College,2025-06-20,B,P00004,0.00,Termination for convenience agreement -20-ocost20-0009 application of continuous ground-based remote sensing to analysis of oco-2/3 xco2 and sif data in mosaic landscapes -support for smd Earth science directorate,WE WILL USE THIS ANALYSIS TO CRITICALLY ASSESS SYSTEMATIC BIASES AS A FUNCTION OF TOPOGRAPHY SEASON TIME OF DAY CLOUD EFFECTS ETC.,1033 MASSACHUSETTS AVE 5TH FL,,CAMBRIDGE,MA,02138,CAMBRIDGE,MA,02138,description,api,
CONT_AWD_80GSFC23PA006_8000_-NONE-_-NONE-,80GSFC23PA006,CONT_AWD_80GSFC23PA006_8000_-NONE-_-NONE-,contract,"Malin Space Science Systems, Inc",2025-06-18,F,P00003,0.00,"Termination for convenience agreement - Mars Sample Return campaign Capture, Containment, and Return Sample (CCRS) camera","MARS SAMPLE RETURN CAMPAIGN CAPTURE, CONTAINMENT, AND RETURN SAMPLE (CCRS) CAMERA",5880 PACIFIC CENTER BLVD,,SAN DIEGO,CA,92121,SAN DIEGO,CA,92121,both,api,
CONT_AWD_80GSFC22CA021_8000_-NONE-_-NONE-,80GSFC22CA021,CONT_AWD_80GSFC22CA021_8000_-NONE-_-NONE-,contract,Newton LLC,2025-06-17,F,P00015,-31752.64,"Termination for convenience agreement - Capture, Containment Return System (CCRS) Capture Lid Mechanism (CLM)",CCRS CAPTURE LID MECHANISM,5650 RIVERTECH CT STE A,,RIVERDALE,MD,20737,RIVERDALE,MD,20737,both,api,
CONT_AWD_80NSSC25PA641_8000_-NONE-_-NONE-,80NSSC25PA641,CONT_AWD_80NSSC25PA641_8000_-NONE-_-NONE-,contract,"Messe Dusseldorf North America, Inc.",2025-06-17,C,P00002,-15200.00,Termination for convenience agreement - booth space for NASA at auvsi 2025,BOOTH SPACE FOR NASA AT AUVSI 2025,150 N MICHIGAN AVE,STE 2920,CHICAGO,IL,60601,CHICAGO,IL,60601,description,api,
ASST_NON_80NSSC24K0503_080,80NSSC24K0503,ASST_NON_80NSSC24K0503_080,grant,George Washington University (THE),2025-06-11,B,P00002,0.00,Stop work notice issued with notification of intent to terminate for convenience assessing environmental justice air quality and health co-benefits of transport interventions in u.S. Urban areas - smd,ASSESSING ENVIRONMENTAL JUSTICE AIR QUALITY AND HEALTH CO-BENEFITS OF TRANSPORT INTERVENTIONS IN U.S. URBAN AREAS,1918 F ST NW,,WASHINGTON,DC,20052,WASHINGTON,DC,20052,description,api,
CONT_AWD_80NSSC24PC269_8000_-NONE-_-NONE-,80NSSC24PC269,CONT_AWD_80NSSC24PC269_8000_-NONE-_-NONE-,contract,KPMG LLP,2025-06-10,C,P00002,-24000.00,Stop work notice issued with notification of intent to terminate for convenience - kpmg aspire immersion,KPMG ASPIRE IMMERSION,8350 BROAD ST STE 900,,MCLEAN,VA,22102,MCLEAN,VA,22102,description,api,
CONT_IDV_80NSSC24AA014_8000,80NSSC24AA014,CONT_IDV_80NSSC24AA014_8000,idv,"Rios Partners, LLC",2025-06-09,F,P00004,0.00,Termination for convenience agreement - change management support service bpas for NASA administrative suite.,THIS BLANKET PURCHASE AGREEMENT (BPA) IS FOR NASA CHANGE MANAGEMENT SUPPORT SERVICES,3100 CLARENDON BLVD STE 200,,ARLINGTON,VA,22201,,,,both,api,
ASST_NON_80NSSC25K7031_080,80NSSC25K7031,ASST_NON_80NSSC25K7031_080,grant,Trustees of Tufts College,2025-06-06,B,P00002,0.00,Terminate for convenience - 23-eej23-0029 integrating Earth observations toward advancing equitable resilience to geohazards in a changing climate,INTEGRATING EARTH OBSERVATIONS TOWARD ADVANCING EQUITABLE RESILIENCE TO GEOHAZARDS IN A CHANGING CLIMATE,169 HOLLAND ST,,SOMERVILLE,MA,02144,SOMERVILLE,MA,02144,description,api,
CONT_AWD_80GSFC24CA024_8000_-NONE-_-NONE-,80GSFC24CA024,CONT_AWD_80GSFC24CA024_8000_-NONE-_-NONE-,contract,"A3l Federal Works,llc",2025-05-28,M,P00008,0.00,"Termination for convenience agreement-partial- iv&v program office Of Safety & Mission Assurance (OSMA) Knowledge Management, Events and Communications Supports (KMECS) ivv contract","KNOWLEDGE MANAGEMENT, EVENTS AND COMMUNICATIONS SUPPORTS (KMECS) IVV CONTRACT",1000 TECHNOLOGY DR,STE 1217,FAIRMONT,WV,26554,FAIRMONT,WV,26554,description,api,
ASST_NON_80NSSC19K0748_080,80NSSC19K0748,ASST_NON_80NSSC19K0748_080,grant,The Pinhead Institute Inc,2025-05-14,B,P00006,0.00,Termination for convenience agreement - an analysis of ladee uvs data for metallic species - support for smd directorate,THE PROJECT WILL COMBINE LUNAR ATMOSPHERE AND DUST ENVIRONMENT EXPLORER (LADEE) ULTRAVIOLET-VISIBLE SPECTROMETER (UVS) DATA WITH EXOSPHERIC MODELS TO ACHIEVE THE FOLLOWING SCIENTIFIC OBJECTIVES:. 1. DISCOVER OR ESTABLISH MORE STRINGENT LIMITS FOR PREVIOUSLY UNDETECTED METALS (SI AL MG CA TI FE) IN THE LUNAR EXOSPHERE; . 2. DETERMINE THE SPATIAL AND TEMPORAL STRUCTURE OF GASEOUS METALS AND ATOMIC OXYGEN AND UNDERSTAND THE PROCESSES THAT CONTROL THEIR DISTRIBUTION AND VARIABILITY. .PRELIMINARY ANALYSES SHOWN IN THIS PROPOSAL DEMONSTRATE THAT UVS DATA REVEAL NOT ONLY DETECTIONS BUT ALSO OFFER SPATIAL AND TEMPORAL RESOLUTION SUFFICIENT TO FULFILL THESE OBJECTIVES. .,300 S MAHONEY DR STE C6C,,TELLURIDE,CO,81435,TELLURIDE,CO,81435,description,api,
ASST_NON_80NSSC23M0020_080,80NSSC23M0020,ASST_NON_80NSSC23M0020_080,grant,Blue Marble Space,2025-05-14,B,P00004,0.00,Termination for convenience agreement - three-dimensional modeling of observable terrestrial worlds - support for smd directorate,UNSOLICITED. THREE-DIMENSIONAL MODELING OF OBSERVABLE TERRESTRIAL WORLDS,716 SEWELL BRANCH RD,,CLAYTON,DE,19938,CLAYTON,DE,19938,description,api,
ASST_NON_80NSSC24K0913_080,80NSSC24K0913,ASST_NON_80NSSC24K0913_080,grant,University of Texas Health Science Center at Houston,2025-05-14,B,P00002,0.00,Termination for convenience - using NASA Earth observations to support environmental justice communities in atlanta georgia - support for smd directorate,USING NASA EARTH OBSERVATIONS TO SUPPORT ENVIRONMENTAL JUSTICE COMMUNITIES IN ATLANTA GEORGIA,7000 FANNIN ST FL 9,,HOUSTON,TX,77030,HOUSTON,TX,77030,description,api,
ASST_NON_80NSSC25K7029_080,80NSSC25K7029,ASST_NON_80NSSC25K7029_080,grant,Research Triangle Institute,2025-05-14,B,P00002,0.00,Termination for convenience agreement - project green: greenspace and remote sensing for the environment and equity in neighborhoods - support for smd directorate,PROJECT GREEN: GREENSPACE AND REMOTE SENSING FOR THE ENVIRONMENT AND EQUITY IN NEIGHBORHOODS.,3040 CORNWALLIS RD,,RESEARCH TRIANGLE PARK,NC,27709,RESEARCH TRIANGLE PARK,NC,27709,description,api,
ASST_NON_80NSSC25K7030_080,80NSSC25K7030,ASST_NON_80NSSC25K7030_080,grant,University of Texas Health Science Center at Houston,2025-05-14,B,P00002,0.00,Termination for convenience agreement - cielo: chicago'S initiative for environmental justice and light pollution outreach - support for smd directorate,LIGHT POLLUTION IS AN EMERGING PUBLIC HEALTH HAZARD THAT HAS BEEN LINKED TO ELEVATED RISK OF MANY DISEASES INCLUDING SLEEP DISORDERS CANCER CARDIOMETABOLIC DISEASES DEMENTIA AND MENTAL DISORDERS. MOREOVER LIGHT POLLUTION IS ALSO AN IMPORTANT ENVIRONMENTAL JUSTICE ISSUE. IT HAS BEEN SHOWN THAT MARGINALIZED COMMUNITIES HAVE A DISPROPORTIONATELY HIGH BURDEN OF ARTIFICIAL LIGHT AT NIGHT (ALAN) AND ARE MORE SUSCEPTIBLE TO DEVELOPE ADVERSE HEALTH EFFECTS RELATED TO ALAN. AMONG AMERICAN CITIES CHICAGO NOT ONLY HAS ONE OF THE HIGHEST LEVELS OF LIGHT POLLUTION BUT ALSO DISPLAYS PROFOUND INJUSTICE IN LIGHT POLLUTION. THE LITTLE VILLAGE NEIGHBORHOOD IN CHICAGO A PREDOMINANTLY MEXICAN IMMIGRANT COMMUNITY EXEMPLIFIES THE DUAL BURDEN OF HIGH LEVELS OF LIGHT POLLUTION AND SOCIAL VULNERABILITY. THANKS TO YEARS OF COLLABORATIVE WORK WITH OUR COMMUNITY PARTNERS THERE IS NOW GROWING AWARENESS ABOUT LIGHT POLLUTION AND ITS DETRIMENTAL EFFECTS AMONG THE LITTLE VILLAGE RESIDENTS. IN ADDITION THE COMMUNITY MEMBERS EXPRESSED PRESSING NEEDS IN LEARNING MORE ABOUT LIGHT POLLUTION IN THEIR NEIGHBORHOOD AND TAKING ACTIONS TO PROMOTE APPROPRIATE LIGHTING AND MITIGATE ADVERSE HEALTH EFFECTS. IN PARTICULAR THERE ARE CRITICAL NEEDS FOR 1) AN INTERFACE THAT PROVIDE HIGH QUALITY DATA AND VISUALIZATION AND ANALYSIS TOOLS TO CHARACTERIZE THE BURDEN OF ALAN 2) A PLATFORM THAT CROSSLINKS ALAN MEASURES WITH DEMOGRAPHIC AND SOCIOECONOMIC INDICATORS AND HEALTH STATISTICS TO DEMONSTRATE THE SCALE OF LIGHT POLLUTION INJUSTICE AND HIGHLIGHT ITS PUBLIC HEALTH IMPLICATIONS AND 3) AN EXPANDED EDUCATION PROGRAM THAT TEACH STUDENTS ABOUT LIGHT POLLUTION AND ITS CONSEQUENCES AND CULTIVATE NEXT-GENERATION ACTIVISTS TO TAKE DATA-INFORMED ACTIONS.,7000 FANNIN ST FL 9,,HOUSTON,TX,77030,HOUSTON,TX,77030,description,api,
CONT_AWD_80NSSC25FA315_8000_80NSSC24AA005_8000,80NSSC25FA315,CONT_AWD_80NSSC25FA315_8000_80NSSC24AA005_8000,contract,"National Quality Assurance - U.S.A., Inc.",2025-05-05,F,P00001,-28832.00,Termination for convenience-as9100 audit at AFRC'S NASA facility,THE PURPOSE OF THIS TASK ORDER IS TO PROVIDE AN AS9100 AUDIT AT AFRC'S NASA FACILITY,289 GREAT RD,STE 105,ACTON,MA,01720,ACTON,MA,01720,both,api,
CONT_AWD_80NSSC24PB679_8000_-NONE-_-NONE-,80NSSC24PB679,CONT_AWD_80NSSC24PB679_8000_-NONE-_-NONE-,contract,"Gartner, Inc.",2025-04-30,M,P00002,0.00,"Termination for convenience agreement --NASA human capital and learning & development advisory, research and benchmarking services.","NASA HUMAN CAPITAL AND LEARNING & DEVELOPMENT ADVISORY, RESEARCH AND BENCHMARKING SERVICES.",56 TOP GALLANT RD,,STAMFORD,CT,06902,STAMFORD,CT,06902,description,api,
CONT_AWD_80NSSC23FA528_8000_80NSSC23DA001_8000,80NSSC23FA528,CONT_AWD_80NSSC23FA528_8000_80NSSC23DA001_8000,contract,Ibex It Business Experts LLC,2025-04-23,F,P00007,-136672.81,"Stop work notice issued with notification of intent to terminate for convenience - nehcss - ibex it business experts, LLC task order 80nssc23fa528 organization development support services","NASA ENTERPRISE-WIDE HUMAN CAPITAL SERVICES (NEHCSS) - IBEX IT BUSINESS EXPERTS, LLC",3295 RIVER EXCHANGE DR STE 550,,NORCROSS,GA,30092,HUNTSVILLE,AL,35812,both,api,
CONT_AWD_80NSSC23F0002_8000_NNG15SD22B_8000,80NSSC23F0002,CONT_AWD_80NSSC23F0002_8000_NNG15SD22B_8000,contract,"Four Points Technology, LLC",2025-04-21,F,P00001,0.00,Terminate for convenience agreement securid authenticator tokens,SECURID AUTHENTICATOR TOKENS,13221 WOODLAND PARK RD,STE 400,HERNDON,VA,20171,CHANTILLY,VA,20151,both,api,
CONT_AWD_80NSSC24FA558_8000_NNG15SD25B_8000,80NSSC24FA558,CONT_AWD_80NSSC24FA558_8000_NNG15SD25B_8000,contract,"Three Wire Systems, LLC",2025-04-16,F,P00001,0.00,Termination for convenience agreement tor- one software renewal,STOR- ONE SOFTWARE RENEWAL,1775 TYSONS BLVD,5TH FLOOR,TYSONS,VA,22102,MCLEAN,VA,22102,both,api,
CONT_AWD_80NSSC24PA660_8000_-NONE-_-NONE-,80NSSC24PA660,CONT_AWD_80NSSC24PA660_8000_-NONE-_-NONE-,contract,"Lmi Consulting, LLC",2025-04-16,F,P00002,0.00,Terminate for convenience: bridge program retreat,BRIDGE PROGRAM RETREAT,7940 JONES BRANCH DR,,TYSONS CORNER,VA,22102,MCLEAN,VA,22102,both,api,
CONT_AWD_80NSSC24PB891_8000_-NONE-_-NONE-,80NSSC24PB891,CONT_AWD_80NSSC24PB891_8000_-NONE-_-NONE-,contract,"Career Communications Group, Inc.",2025-04-16,F,P00003,0.00,Termination for convenience: women of color in STEM silver partnership and participation in their national convention,WOMEN OF COLOR IN STEM SILVER PARTNERSHIP AND PARTICIPATION IN THEIR NATIONAL CONVENTION,729 E PRATT ST STE 504,,BALTIMORE,MD,21202,BALTIMORE,MD,21202,both,api,
CONT_AWD_80NSSC25FA078_8000_NNG15SD72B_8000,80NSSC25FA078,CONT_AWD_80NSSC25FA078_8000_NNG15SD72B_8000,contract,Colossal Contracting LLC,2025-04-16,F,P00001,0.00,Termination for convenience agreement prisma cloud renewal,PRISMA CLOUD RENEWAL,304 HARRY S TRUMAN PKWY STE G,,ANNAPOLIS,MD,21401,ANNAPOLIS,MD,21401,both,api,
CONT_IDV_80GRC022AA005_8000,80GRC022AA005,CONT_IDV_80GRC022AA005_8000,idv,"Applied Fab & Machining, Inc.",2025-04-15,F,P00002,0.00,"Termination for convenience - NASA glenn research center blanket purchase agreement. Each order may include, but is not limited to, machining, fabrication, welding/metal joining, instrumentation, inspection and non-destructive Testing (NDT)","NASA GLENN REASEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON-DESTRUCTIVE TESTING (NDT).",7811 W STEWART AVE STE A,,WAUSAU,WI,54401,,,,both,api,
CONT_IDV_80GRC022AA006_8000,80GRC022AA006,CONT_IDV_80GRC022AA006_8000,idv,"Axial Global, LLC.",2025-04-15,F,P00002,0.00,"Termination for convenience - NASA glenn research center blanket purchase agreement. Each order may include, but is not limited to, machining, fabrication, welding/metal joining, instrumentation, inspection and non-destructive Testing (NDT).","NASA GLENN REASEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON- DESTRUCTIVE TESTING (NDT).",431 E AIRTEX DR STE 200,,HOUSTON,TX,77073,,,,both,api,
CONT_IDV_80GRC022AA014_8000,80GRC022AA014,CONT_IDV_80GRC022AA014_8000,idv,KCS Prototype and Design LLC,2025-04-15,F,P00003,0.00,"Termination for convenience - NASA glenn research center blanket purchase agreement. Each order may include, but is not limited to, machining, fabrication, welding/metal joining, instrumentation, inspection and non-destructive Testing (NDT).","NASA GLENN RESEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON- DESTRUCTIVE TESTING (NDT).",12842 FARMINGTON RD,,LIVONIA,MI,48150,,,,both,api,
CONT_IDV_80GRC022AA017_8000,80GRC022AA017,CONT_IDV_80GRC022AA017_8000,idv,"MSP Aviation, Inc.",2025-04-15,F,P00003,0.00,"Termination for convenience - NASA glenn research center blanket purchase agreement. Each order may include, but is not limited to, machining, fabrication, welding/metal joining, instrumentation, inspection and non-destructive Testing (NDT).","NASA GLENN RESEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON- DESTRUCTIVE TESTING (NDT).",239 W GRIMES LN,,BLOOMINGTON,IN,47403,,,,both,api,
CONT_IDV_80GRC022AA018_8000,80GRC022AA018,CONT_IDV_80GRC022AA018_8000,idv,"Precision Fabricating & Cleaning Company, Inc.",2025-04-15,F,P00003,0.00,"Termination for convenience - NASA glenn research center blanket purchase agreement. Each order may include, but is not limited to, machining, fabrication, welding/metal joining, instrumentation, inspection and non-destructive Testing (NDT).","NASA GLENN RESEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON- DESTRUCTIVE TESTING (NDT).",3975 E RAILROAD AVE,,COCOA,FL,32926,,,,both,api,
CONT_IDV_80GRC022AA021_8000,80GRC022AA021,CONT_IDV_80GRC022AA021_8000,idv,"Unipak Aviation, LLC",2025-04-15,F,P00003,0.00,"Termination for convenience - NASA glenn research center blanket purchase agreement. Each order may include, but is not limited to, machining, fabrication, welding/metal joining, instrumentation, inspection and non-destructive Testing (NDT).","NASA GLENN RESEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON- DESTRUCTIVE TESTING (NDT).",8323 LINDBERGH CT,,SARASOTA,FL,34243,,,,both,api,
CONT_IDV_80GRC022AA023_8000,80GRC022AA023,CONT_IDV_80GRC022AA023_8000,idv,North Wind Systems LLC,2025-04-15,F,P00002,0.00,"Termination for convenience - NASA glenn research center blanket purchase agreement. Each order may include, but is not limited to, machining, fabrication, welding/metal joining, instrumentation, inspection and non-destructive Testing (NDT).","NASA GLENN REASEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON- DESTRUCTIVE TESTING (NDT).",703 CITY CENTER BLVD,,NEWPORT NEWS,VA,23606,,,,both,api,
CONT_IDV_80GRC022AA024_8000,80GRC022AA024,CONT_IDV_80GRC022AA024_8000,idv,"Kessington, LLC",2025-04-15,F,P00002,0.00,"Termination for convenience - NASA glenn research center blanket purchase agreement. Each order may include, but is not limited to, machining, fabrication, welding/metal joining, instrumentation, inspection and non-destructive Testing (NDT).","NASA GLENN REASEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON- DESTRUCTIVE TESTING (NDT).",1020 COUNTY ROAD 6 W,,ELKHART,IN,46514,,,,both,api,
CONT_AWD_80GRC024CA008_8000_-NONE-_-NONE-,80GRC024CA008,CONT_AWD_80GRC024CA008_8000_-NONE-_-NONE-,contract,Case Western Reserve University,2025-04-08,M,P00002,0.00,Stop work notice issued with notice of intent to de-scope. Centrifugal acceleration testing - NASA GRC is pursuing the development of dynamic conversion technologies to support science mission power system development.,CENTRIFUGAL ACCELERATION TESTING - NASA GRC IS PURSUING THE DEVELOPMENT OF DYNAMIC CONVERSION TECHNOLOGIES TO SUPPORT SCIENCE MISSION POWER SYSTEM DEVELOPMENT.,10900 EUCLID AVE,,CLEVELAND,OH,44106,CLEVELAND,OH,44106,description,api,
CONT_AWD_80HQTR24F0019_8000_80HQTR21D0004_8000,80HQTR24F0019,CONT_AWD_80HQTR24F0019_8000_80HQTR21D0004_8000,contract,"Icf Incorporated, LLC",2025-04-08,M,P00002,0.00,Stop work and termination for convenience notice issued. Engagement specialist to the U.S. Global Change Research Program (USGCRP) National Coordination Office (NCO),ENGAGEMENT SPECIALIST TO THE U.S. GLOBAL CHANGE RESEARCH PROGRAM (USGCRP) NATIONAL COORDINATION OFFICE (NCO),9300 LEE HWY,,FAIRFAX,VA,22031,FAIRFAX,VA,22031,description,api,
CONT_AWD_80HQTR24F0096_8000_80GSFC19D0011_8000,80HQTR24F0096,CONT_AWD_80HQTR24F0096_8000_80GSFC19D0011_8000,contract,The Aerospace Corporation,2025-04-08,M,P00002,0.00,Stop work notice issued with notification of intent to terminate for convenience - strategic communications and integration support for mission support directorate,"DEVELOPMENT AND MAINTENANCE OF PRODUCTS, SERVICES, TECHNICAL AND BUSINESS PRACTICES AS DIRECTED BY MSD LEADERSHIP.",2310 EAST EL SEGUNDO BLVD,,EL SEGUNDO,CA,90245,WASHINGTON,DC,20456,description,api,
CONT_AWD_80JSC022CA012_8000_-NONE-_-NONE-,80JSC022CA012,CONT_AWD_80JSC022CA012_8000_-NONE-_-NONE-,contract,"Flawless Photonics, Inc.",2025-04-08,M,P00008,0.00,Termination notice issued: in space production applications (INSPA) - fabrication of flawlesspreforms in microgravity for oa directorate,IN SPACE PRODUCTION APPLICATIONS (INSPA) - FABRICATION OF FLAWLESSPREFORMS IN MICROGRAVITY,11985 MAGDALENA AVE,,LOS ALTOS HILLS,CA,94024,LOS ALTOS HILLS,CA,94024,description,api,
CONT_AWD_80LARC21F0083_8000_80LARC20D0007_8000,80LARC21F0083,CONT_AWD_80LARC21F0083_8000_80LARC20D0007_8000,contract,Cornell Technical Services LLC,2025-04-08,M,P00006,0.00,Stop work notice issued with notification of intent to terminate for convenience - soma vault administration,ADMINISTRATION AND MANAGEMENT OF SECURE VAULT,9700 PATUXENT WOODS DR,,COLUMBIA,MD,21046,HAMPTON,VA,23681,description,api,
CONT_AWD_80LARC21F0153_8000_80LARC20D0007_8000,80LARC21F0153,CONT_AWD_80LARC21F0153_8000_80LARC20D0007_8000,contract,Cornell Technical Services LLC,2025-04-08,M,P00006,0.00,"Stop work notice issued with notification of intent to terminate for convenience - Mars Exploration Program (MEP) assessment for management, planning, technical, scientific, risk, cost, and schedule support","MARS EXPLORATION PROGRAM (MEP) ASSESSMENT FOR MANAGEMENT, PLANNING, TECHNICAL, SCIENTIFIC, RISK, COST, AND SCHEDULE SUPPORT",9700 PATUXENT WOODS DR,,COLUMBIA,MD,21046,HAMPTON,VA,23681,description,api,
CONT_AWD_80LARC25F7011_8000_80LARC20D0007_8000,80LARC25F7011,CONT_AWD_80LARC25F7011_8000_80LARC20D0007_8000,contract,Cornell Technical Services LLC,2025-04-08,M,P00003,0.00,Stop work notice issued with notification of intent to terminate for convenience - 2025 astrophysics division senior review,2025 ASTROPHYSICS DIVISION SENIOR REVIEW,9700 PATUXENT WOODS DR,,COLUMBIA,MD,21046,COLUMBIA,MD,21046,description,api,
CONT_AWD_80MSFC22F0153_8000_80MSFC20D0004_8000,80MSFC22F0153,CONT_AWD_80MSFC22F0153_8000_80MSFC20D0004_8000,contract,The Johns Hopkins University Applied Physics Laboratory LLC,2025-04-08,M,P00004,0.00,Stop work notice issued with notification of intent to terminate for convenience - nesc avionics packaging engineering processes and best practices,NESC AVIONICS PACKAGING ENGINEERING PROCESSES AND BEST PRACTICES,11100 JOHNS HOPKINS RD,,LAUREL,MD,20723,LAUREL,MD,20723,description,api,
CONT_AWD_80NSSC20P1795_8000_-NONE-_-NONE-,80NSSC20P1795,CONT_AWD_80NSSC20P1795_8000_-NONE-_-NONE-,contract,Howard Wershbale & Co,2025-04-08,F,P00008,0.00,Termination for convenience agreement exercise option yr 4,2020 FISCAL YEAR END FINANCIAL STATEMENT REVIEW OF NASA GLENN EXCHANGE,23240 CHAGRIN BLVD # 700,,CLEVELAND,OH,44122,BEACHWOOD,OH,44122,both,api,
CONT_AWD_80NSSC22PA482_8000_-NONE-_-NONE-,80NSSC22PA482,CONT_AWD_80NSSC22PA482_8000_-NONE-_-NONE-,contract,"Diversified Services Group, Inc.",2025-04-08,F,P00006,0.00,Termination for convenience agreement - live plant maintenance services,LIVE PLANT MAINTENANCE SERVICES,12410 MILESTONE CENTER DR STE 600,,GERMANTOWN,MD,20876,GERMANTOWN,MD,20876,both,api,
CONT_AWD_80NSSC23PA010_8000_-NONE-_-NONE-,80NSSC23PA010,CONT_AWD_80NSSC23PA010_8000_-NONE-_-NONE-,contract,Business Class Aviation Inc.,2025-04-08,F,P00004,-38680.00,Terminate for convenience of agreement-dc-8 and SOFIA aircraft storage and parts removal,DC-8 AND SOFIA AIRCRAFT STORAGE AND PARTS REMOVAL,7472 CYPRESS AVE,,ROSAMOND,CA,93560,ROSAMOND,CA,93560,both,api,
